id,original_tweet,sentiment_result,class
196,"Sch! Halo 😫😰😢 yang sekolah di Semarang udah ada pengumuman dari sekolah belumm? Jujur sender masi pengen ptm, tapi angka cororo sekarang naiknya tinggi bangett. Bahkan di sekolah sender udah banyak yang kontak langsung tapi didiemin aja 😭😭😰 https://t.co/QICgOHUwyZ",34,POSITIF
197,"@schfess ptm 50%, aku klo diterangin ttg ngoding lwt zoom susah ngertinya 😭",-2,NEGATIF
198,gwww pengen ptm covid syalandddd,-5,NEGATIF
199,@fairywnh aku jg sama udh dari minggu lalu sampe senin depan selanjutnya gatau balik ptm atau lanjut pjj,9,POSITIF
200,@subschfess Kalo aku pen ptm tanpa tugas tapi haha,3,POSITIF
201,Tiba-tiba adik w PTM 100% lagi karena case covid di Bali lagi naik 😷,nan,POSITIF
202,@jjk_97boy morning. msh PTM ya? asik deh gue udh pjj lagii,3,POSITIF
203,"@schfess Kebalik aku mah. Pas pjj desember kemaren, sakit punggung sebulan penuh...pas masuk januari mulai membaik, LAHHH PTM TIBA TIBA

Mulai kumat ampe sekarang.🙂 sial",-17,NEGATIF
204,@collegemenfess seminggu kemaren ptm full sih,0,NETRAL
205,yah ptm nya ganjil genap,-1,NEGATIF
206,enakan ptm apa daring dh,2,POSITIF
207,Masi ptm gatau kalo nanti. https://t.co/F24QgLPcK0,-4,NEGATIF
208,@llayzsne kenapa bolos? aku aja pengen ptm😔,3,POSITIF
209,"@StopPlandemit @TKantau @Moonboy020290 Bayangin,kurikulum sekarang yg dipakai kurtilas, dimana pelajaran sudah sangat tinggi, even buat anak SD, di Bogor aja, masih ada emak2 yg buta huruf, tamatan SD, gimana mau ngajari anaknya coba! Bogor mak! Gimana yg pelosok, makanya pas denger2 PTM distop, gemes bgt aku🤬🤬🤬",22,POSITIF
210,"@subschfess AKUUU NDER WKWKWK kalau ptm malesnya itu kalau otw harus pagi, tapi kalau pjj susah fokus (lebih ke males sih tbh) terus pengen ketemu temennn juga🥲🖐🏼",1,POSITIF
211,OMG HARI INI HARI TERAKHIR SEKOLAH SASHA PTM #SAD,3,POSITIF
212,"hi muts, aku bolos ptm",0,NETRAL
213,di tiktok banyak yg berantem soal ptm pjj apalah.. gue sih bodo amat mau ptm pjj juga sama aja 💀 cuma masalahin covid doang sih gue,-12,NEGATIF
214,Yahh PTM 50% lagiiii. Ualahh https://t.co/1LoqSNF7DO,-6,NEGATIF
215,"@strongarts_ @treasuremenfess iyaa, sekolah aku gak berhentiin ptm (dom tangsel)",8,POSITIF
216,@convomf walaupun gada temen tp ak memilih ptm 🙏🏻,-5,NEGATIF
217,"@me_gsty sedih ya, pdahal udah seneng ptm",9,POSITIF
218,@LLEEJEN0 iyaa bener ptm ketolong soalnya ketemu temen gitu kan :((,3,POSITIF
219,"Kalo hari ini ptm pasti di sekolah jamkos soalnya sibuk bawa barang buat pagelaran, trs sampe sore nata panggung",8.75,POSITIF
220,RT @StopPlandemit: Mereka ini mikir gk gimana perjuangan anak2 hanya demi Pendidikan?beberapa dari mrk sampai harus kehilangan nyawa.Trus g…,-8,NEGATIF
221,"@_pitikcilik Sekolahnya masih full PTM... Pusing.. Mau onlen, emaknya lama2 bisa darting... 😪😪😪😪😪",4,POSITIF
222,"Kl Pak Anies hentikan PTM DKI, sama pasukan Kodok luar DKI / JKT42 dibilang ""lenyapkan harapan anak bangsa"", kl Pak Anies tetap lanjut PTM, nanti mreka bilang ""Gotbener Anies mau bunuh Warga DKI"". wkwk 🥺 akibat minyak goreng naik &amp; langka, mereka jd kurang nutrisi otak 🥺",-2.25,NEGATIF
223,"Bapak Ibu Kepala Sekolah yang terhormat, 

Kurikulum bisa berganti. 
Orang Dinas bisa berganti. 
Mentri sekalipun bisa berganti. 

namun buah hati seseorang tak bisa tergantikan. 

Kami mohon Stop PTM, dan mulai PJJ Bapak dan Ibu terkasih. 
 jaga anak anak kita. 

🙏🙏🙏 https://t.co/uaMMdfBBSk",6,POSITIF
224,"@ismailfahmi Bahasa yg tdk diperbolehkan adl menghentikan ptm terbatas.Jadi in case ada yg penting utk ptm ,dengan catatan skala terbatas , masih bisa dilakukan . Misal kelas lab di kampus , yg kadang ga bisa offline , atau ptm 25% misal menjelang sbmptn atau ujian yg perlu pm offline.",nan,POSITIF
225,@bigwinberkali2 @emakpngnbigwin Semoga hasilnya negatif ya Bu. Dan selalu diberi kesehatan sekeluarga.. anak ikut PTM skrng kaya ngirim mereka ke medan perang jadinya.,-8,NEGATIF
226,@fantashee Mauu ptm juga,5,POSITIF
227,@BBAHlYYlH Pengen ptm t______t,3,POSITIF
228,"@elisedya1 @StopPlandemit @TKantau @Moonboy020290 biar geger emang, kalau PTM yg ditiadakan kan lagsung jadi headline di media 🤣",11,POSITIF
229,"@yesogyu hiks disini baru aja pjj, mengsedih padahal uda asik ptm T ___ T",5,POSITIF
230,"ptm day 24, pusing kepala https://t.co/j757WBZ1Fh",-4,NEGATIF
231,demi apaa anjg ptm lagi,-7,NEGATIF
232,"@HALCGSWA @schfess huhu syukurlah, sklhku jg gada yg + tapi 1 kabupaten pada daring lagi, pdhl pengen PTM sampe ujian kalo bisa:(",2,POSITIF
233,@jev_anna daring huhu hbs ptm di skolah byk yg positif,13,POSITIF
234,"@subschfess pjj aja pls soalnya jg nanggung ke sekolah bentar lg lulus, gabisa haha hihi jg tiap hari kerjaannya uji nyali, kalo bersosialisasi kan bisa lewat mana aja gaperlu tatap muka langsung,, ptm tuh udh uji nyali, cape, stress, kena kopit pula",16,POSITIF
235,@schfess Tapi ptm itu membantu bgt ga sih utk lebih paham materi? Ptm efektif kok selama sesama warga sekolah itu saling mengingatkan dan saling menjaga prokes.. jangan seenaknya sendiri kalau memang ga mau keadaan jd memburuk lagi..,-4,NEGATIF
236,"SKB 4 Menteri tentang PTM Bisa antisipasi ancaman omicron
https://t.co/tCghbNjkTC
#evaluasiptm #jawabarat #infojabar #infobogor #omicron #covid_19 #covid19indonesia https://t.co/Aq2JsvWwOj",0,NETRAL
237,"@giftsswing Emangnya PJJ gak belajar juga? Kalo aku sih, lebih baik PJJ dulu ya setidaknya sampe cvid turun lagi. Kalo PTM full nanti takutnya makin banyak yg kena cvid, makin lama pula bumi bisa bener² normal tanpa virus ini",0,NETRAL
238,Pls ini bisa daring lagi gasi? Jujur gua rada capek kalo ptm demi allah,3,POSITIF
239,"@convomfs ptm, pjj kalo ulangan aja wokwok",0,NETRAL
240,"lagi meet : kaaaaa
lagi ngerjain tugas : kaaaaa
lagi diem : kaaaa
trs ntar ada yg tiba tiba : kerjaannya main hp aja, gamau bantu bantu

YA ALLAH GUE UDH NGERJAIN SEMUANYA DULU, TRS NGERJAIN TUGAS YG SEMUANYA HARUS ADA DI HP SAMA LAPTOP, YA ALLAH MAU PTM LAGI AJAA GAKUAT",11,POSITIF
241,"Baca postingan warganet yg sudah muak dengan pembatasan pembatasan, muak dgn test PCR dll dan muak dgn corona, udah nganggap bodo amat sama covid. Tp giliran Pusat ga setuju usulan Gub DKI soal peniadaan PTM malah ngoceh ngoceh salahin Luhut, salahin rezim. 🤣",3,POSITIF
242,"banyak yang pjj yaw, ak ptm sksksk mana sesi siang lagi anjrt",3,POSITIF
243,"@schfess solo, ptm 50%, kemaren udh ada yang positif covid tp masi lanjut ptmnya gatau ampe kapan si. gaada hilal bakal pjj juga",18,POSITIF
244,"Harusnya skrng ptm aja 
Ehh malah daring",1,POSITIF
245,jangan berhentiin ptm bs 😢😢,-3,NEGATIF
246,"@schfess ptm sesi 2 (sesi gua) diliburin krn ada rapat, gua baru bangun, otw tempat les krn mau numpang belajar di sana, sekalian jam 4 ada jadwal sampe jam 7 sih. https://t.co/OdLQoy5fQB",-1,NEGATIF
247,Kalo kek gini mending besok ptm,-2,NEGATIF
248,"@convomfs ptm, pjj tugas terus gapernah dijelasin",-4,NEGATIF
249,"plis ptm jangan di hold dongg.
ya kalopun di hold ya gimana ya.
namanya juga situasi.

emang bener kayaknya.
""jangan terlalu nyaman sama suasana maupun seseorang.""
bangsat.",10,POSITIF
250,"@zevyrst @schfess iyaa, alhamdulillah sekolahku belum ada yang +

semoga aja ptm full ini bisa bertahan sampe ujian nanti :(((",15,POSITIF
251,"@yesogyu baikk jugaaa, btw sekolahmu udah PTM gaaa? atau PJJ lagi?",2,POSITIF
252,"@schfess KAB Semarang, tapi roman roman nya mungdep pjj lagi anjrit pdhl baru ptm 1 bulan itupun 50% doang",-1,NEGATIF
253,"@CNNIndonesia Tenang saja anak sekolah masih ptm 100%.tertular covid juga tdk masalah, paling ortu murid yg menangis sedih didepan pintu i.c.u/didepan batu nisan anak yg dicintainya. paling pemerintah hanya bilang ""Ini semua krn prokes tdk dijalankan dgn sungguh sungguh"". Sesederhana itu saja.",-72,NEGATIF
254,"@mogareyreno aslinya udah ptm kak, tapi lingkungan sini banyak yg kena covid jdi pjj lagi. stay safe yaa kakk",5,POSITIF
255,@convomfs sebenernya lebih pengen tetep ptm cuma kondisinya ga memungkinkan banget jd aku pilih pjj,7,POSITIF
256,"@GratisTerbaik @aimtal Barusan dilaporin anak saya sepulang saya jemput sekolah, kalo temennya  udah gak masuk pasca vaksin om. Kata gurunya demam gak turun2. Nah loh. Untung anak saya gak saya ikutin vaksin. Alhamdulillah, sangat sehat walaupun PTM 100.  Anakq Sungguh lincah dan sehat. 💪💪",-4,NEGATIF
257,"@subschfess engga sih, soalnya emang pengen ptm terus hehe",5,POSITIF
258,"@schfess buat sebulan kedepan belum ada ketentuan, tapi untuk 2 minggu ini ptm 100% full. aku dom jakbar",7,POSITIF
259,sing kudune ptm ki mahasiswa. nggilani tenan sarjana ilmune ngawang awang.,-3,NEGATIF
260,uda ga ptm lagi huf,2,POSITIF
261,"@convomfs masii ptm, tpi bau""nyaa si mau pjj",5,POSITIF
262,PTM diberlakukan 50 persen. Artinya siswa dibagi dua shift dalam pelaksanaan PTM. #publisherstory https://t.co/g8Ne20FMbE,4,POSITIF
263,PTM TP GABUT,-5,NEGATIF
264,"@subschfess gaaa, ak maunya ptm trus😔😔",1,POSITIF
265,"barusan di wa adek yg masih SMP.
udah pada happy 2 bulanan ini PTM 100%, ketemu temen sekolah tiap hari meskipun durasi sekolah cuma 2 jam an.
ehh sekarang harus daring lagi 🥲
di sekolah mana gitu ada yg positif 39 murid. https://t.co/2owjFeO0fO",17,POSITIF
266,"ok gapapa ptm 50 50 asal ptm, encok gue daring",-4,NEGATIF
267,"@useraksel aku ptm 50%, di bagi sesi dan aku ga se sesi sama temen deket aku. aku sesi 1 di sesi 1 kebanyakan cowok gitu, aku cuma takut gabisa belajar fokus sama takut ga nyaman 🥺 awalnya aku mau coba tanya ke guru kelas boleh ga aku di sesi 2, eh ga bolehhh jadi nya aku bm 😭😭😩",42,POSITIF
268,"PTM tetap berjalan dengan memerhatikan dinamika penyebaran covid-19 varian omicron serta mencermati masukan dari berbagai pihak
#BersatuDukungPemulihanRI https://t.co/5DZJ6kBMJk",5,POSITIF
269,@bIuebbIe iyaaa💔padahal pgn bgt ptm tapi malah ga jadi gara2 kasus nya naik lagii😔,nan,POSITIF
270,@cloupssy @kqonto murid ptm koncol,-2,NEGATIF
271,materi yg di sampaikan tuh gampang ngerti klo ptm,4,POSITIF
272,JGN PJJ PLS GUE SUKA PTM SOALNYA ADA WIFI GRATIS. UANG SAKU JG GA DI POTONG 😿,-1,NEGATIF
273,"@watashiure cape tugas ga sih, kalo ptm cape fisik 😔",-10,NEGATIF
274,tbh enak ptm dari pada pjj,1,POSITIF
275,"Njir, bener bener dah 😂 https://t.co/r3Ya8NwvsK",0,NETRAL
276,@plvtornn semangat ptm nyaaa,4,POSITIF
277," @ftrrii1 @Moonboy020290 Yg kocak, pas PSBB diumumin pemerintah pada ngamuk, nah org yg sm lewat di teel gw, ngamuk lg ke pemerintah krn ga setuju pakgub mo berhentiin PTM ",2,POSITIF
278,"@subschfess engga, pas pjj ga pengen ptm",3,POSITIF
279,"@pacarnyaminhi aaa gitu, yaampun pdhl kmrn udh enak2 ya ptm mau 100% skrg malah ada bdr lagi:(",15,POSITIF
280,"@ClarissaLyi @orgcakepni @schfess bnr bangettt sekolah gue termasuk ketat bgt, sakit ringan sebatas batuk aja bnr2 gblh masuk. kmrn udh bersyukur bgt nilaiku bnyk naik ilmu nambah krna ptm, tbh ak males bgt dirumah mknya enak sekolah aja :(",5,POSITIF
281,"masalahnya upraknya gadir, klo ttp ptm tugasnya juga seabrek, GAPAPA KOK GAPAPA ALIAS EMOSIII, klo mau ptm kls 10 11 aja dluuu yg kls 12 pjj seminggu buat uprakk",5,POSITIF
282,@GATRA_com Ya ngapain kirim surat ke pusat ... tinggal kepala daerahnya pak @IdrisAShomad buat keputusan diberhentikan sementara PTM atau bikin kebijakan PTM 50% misalnya ... kan harusnya kepala daerah bisa mikir bukan lempar tangan ke pusat,15,POSITIF
283,@convomfs lebih ngerti pas ptm but pjj pas ulangan aja wkwkwk,3,POSITIF
284,"Gak apa-apa, deh. Semoga virusnya cepat berkurang dan bisa balik PTM lagi.",-6,NEGATIF
285,"@convomfs ptm kalo materi ulangan, pts pjj",-1,NEGATIF
286,"@convomfs pengennya, PTM. tapi uprak nanti daring aja gapapa HAHAHAHA",0,NETRAL
287,"ini sekolah udh gilaa apaa gimana sihh, uprak daring bikin vidio tpi ttp ptm tuuu gimana yaaaa, uprak sambil belajar gtuu? plsss laaa trs kapan waktunya buat bikin vidio uprakkkkkkk absidndjdjufbc",14,POSITIF
288,"Walaupun aku pusing karena sekolah (PTM), tapi kalau gak ketemu teman rasanya ada yang kurang.. u___u",0.75,POSITIF
289,@jev_anna Ptm blm punya temen jadi daring aja deh heheh,5,POSITIF
290,sriusan ini memding ptm aja anjig,-6,NEGATIF
291,@jev_anna Ptm lebh enak si,6,POSITIF
292,Kok sekolah gue ga pjj lagi si plis males banget ptm,-7,NEGATIF
293,"@convomfs harusnya masih ptm buat hari ini, tapi dipulangin soalnya anak kelas sebelah ada yang positif, jadi pjj deh",-3,NEGATIF
294,"@convomfs yaallah ptm aja baru mulai tgl 14, masa mo ganti daring lagi😭 gw belum ngerasain woee",2,POSITIF
295,@dalgmcnuggets yahh ak ptm 😭,-1,NEGATIF
296,gue mending pjj sih daripada PTM persesi 😭✨,-1,NEGATIF
297,"AKU SEKARANG TIM PTM, KALO PJJ GA SESESI SM AYANG https://t.co/VoZAeeCnuw",2,POSITIF
298,Tapi kalau tetap PTM virusnya bertambah lagi.,-6,NEGATIF
299,@convomfs tim setengah setengah sih. kalo ptm terus agak jskskzjjss gitu,-6,NEGATIF
300,@convomfs ptm dihati,3,POSITIF
301,Yahhh sedih sekolah gue besok udah mulai ptm 50% :(,-3,NEGATIF
302,@convomfs tetep ptm,3,POSITIF
303,@ALDRLDXVR Semangat ptm,4,POSITIF
304,"gurunya ga niat ngajar?2x pertemuan ga masuk,,udah ditelfon walas gua anjr mana ga bilang,mksdnya aja gtu pdhal klo ptm masuk muluuu",2,POSITIF
305,"emang kudu diberentiin dulu PTM selama 3-4 minggu. buat apaan? yaa kalo kasus meledak di usia usia sekolah tu, perlu fasilitas khusus kalo ada case terburuk sampe perlu rs. udah gitu pasti persiapannya dikit dan ga banyak yang punya tu fasilitas. tapi kita ikutin aja lord luhut🙏🏻",nan,POSITIF
306,@schfess Awalnya pas masih PJJ ga akrab samsek dan kek gamau kenal sama temen2 sekelas. Eh pas udah PTM lama2 jadi asik,16.5,POSITIF
307,"@sssashaaa01 samaa, padahal udh nyaman ptm",12,POSITIF
308,@subschfess Ngga. Aku ttp pengen pjj. Ptm ngeri sama sirkel nya. Gue yg anak bawang cuma bisa diem@pokokan,-1,NEGATIF
309,Beruntung we can say good bye to each other... Walaupun capek ptm tapi tep aja bakal kangen. Tapi seru juga ptm:( bitj daring gua ga ngerti apa apa lagi,18,POSITIF
310,"@subschfess kalo ptm pengen pjj, kalo pjj pengen duit sih aku mah",6,POSITIF
311,@jev_anna ptm lebih enak tp skrng daring lagi,3,POSITIF
312,@honeytoodle enakan ptm yh?,5,POSITIF
313,@detikcom Sibuk..minta izin PTM malah safari.... promo hanya ingin dengar suara calon presiden.. aseeex,14,POSITIF
314,when yang lain PTM tapi gua sakit di rumah 👍 https://t.co/yfVLQf6wPz,-9,NEGATIF
315,ok sekolah gw balik ke PTM terbatas lagi,1,POSITIF
316,"Pantesan kemarin usulan PTM anak sekolah ditolak, rupanya krn udah kadung punya rencana ini🤔 https://t.co/hHtZqxKn1g",-1,NEGATIF
317,"@henderrryy GW JG AD UL ANJ gamau ptm dl, gile ajaa covidnya lg drastis naik😭",-1,NEGATIF
318,Btw di balam udahh pada daringg karna siswanya banyak yang kena Semoga lambarr tetep ptm,-1,NEGATIF
319,RT @iloyojiel: anjg ptm 50% lagi,-7,NEGATIF
320,"@subschfess Aku juga gitu nder tapi mencoba berpikir lebih jernih, kalo PJJ kebanyakan main lah males lah offcam lah udah gitu ga 100% merhatiin tapi kalo PTM itu asik sih walaupun sepi kelasnya, rasanya kaya bimbel terus jg lebih fokus ditambah pasti ada catatan mapel gt kalo PTM",29.75,POSITIF
321,@henderrryy Lagi PJJ katanya PTM Senin tapi gatau di perpanjang lg apa g🙁,-8,NEGATIF
322,@CNNIndonesia AB ini salah strategi terus. Tapi dia pintar mengubah ini jd panggung politik. Aslinya ga perlu minta persetujuan krn kewenangan di Daerah buat ngurangin PTM (misal jadi 50-30%). Kalo stop 100% mungkin blm bisa. Nah dia maunya 100% tanpa PTM dan minta perstujuan LBP. Jelas ngaco.,4.5,POSITIF
323," @Dj_Bams74 Itu dia penting nya cari jalan keluar biar tidak merugikan Dikanal berita itu sudah bagus idenya PTM 50% pun dengan tempat usaha harus dibatasi juga Kita tempat usaha masih langgar prokes loh 😂  dibatasi 50% ternyata tanpa kita sadari kita melebih aturan",-14,NEGATIF
324,"matpel nya ga sesuai jadwal ptm bngst, jadi ngacak",-1,NEGATIF
325,"gua mau nangisssss, males ngapa ngapain karna mendengar berita ptm 50% udah mana gt ulangan diundur muluuu gua sedih bgttt",-24,NEGATIF
326,"@missufe Morningg makji, sedih bnget aku hari ini krna udh ga PTM lagi",-4,NEGATIF
327,@Kdillust1218 Nda :(( gak tau sekolahku masih ptm ini,-7,NEGATIF
328,ptm soalnya kelas gw lebih enak daripada kamar gw😓😓 https://t.co/neA9EeeiTj,-5,NEGATIF
329,ptm setopp aja plis beresiko bangett,-4,NEGATIF
330,"jangan lupa sarapan dan mandi pagi kalian.. semangat buat yg pjj/ptm, yg kuliah dan yg kerja!! ✨❤️",7,POSITIF
331,@sukasusumilku Mangaatss nder semoga cpt balik PTM lagiu,1,POSITIF
332,@taetaejungo semenjak ptm gue udh ga begadang,-1,NEGATIF
333,@codesbans PJJ SJDBDJEJDIFJ sgt menyedihkan. km hri ini pjj apa ptm,-8,NEGATIF
334,"gue udah 3 hari mulai ptm dan keinget gapernah ketemu crush gue padahal satu sekolah, kan gue juga pengen ketemu krass",0,NETRAL
335,@Biruuu274 Semangat ya nder semoga cpt balik PTM lagii,1,POSITIF
336,"@fadlizon Susah memahami jalan pikirannya. Memprediksi puncak wabah Covid-19 / Omicron bulan Februari, tetapi penerbangan internasional dibuka, keramaian dimall terjadi, tingkat hunian RS terjadi. PTM jalan terus ?",1,POSITIF
337,"@rosie_ark OH MKSDNYA KU SUKA PTM, SKRG MAH AK PJJ😔",4,POSITIF
338,Sedih bgttttt PTM terbatas lagi 😭,-7,NEGATIF
339,WHWHAHAH YG LAIN PTM GW MALAH ONLINE LAGI https://t.co/nwXv58Wzsz,-10,NEGATIF
340,"buat yg mikir buat ptm, mending jangan dulu deh. covid lgi serem bgt, sekola gua lockdown krn banyak yg positif, sekitar 10 an. keluarga gua juga kena, stay safe and healthy yaa sering sering vitamin ama makan yg sehat2, klo dingin dingin coba tunda dulu deh, klo sakit jgn panik",7,POSITIF
341,"RT @schfess: sch! meski skrg lagi pjj, but i love ptm so much &lt;3 https://t.co/tlO0BPUtLq",0,NETRAL
342,"@schfess ptm setengah aja dah, mau lulus bentar lagi soalnya",1,POSITIF
343,"@jjnjaem aamiinn aamiin, males pjj mau ptm lagi aja 😔😭",5,POSITIF
344,WALAUPUNNNN pjj enak siee dirumah gt ga hrsss pake seragamm ga ribet deh TAPI PTM JUGA SERUUUUUU bangettttt,4,POSITIF
345,@jyuhaney yahh🥺 semangat PTM nya ya✊🏻,5,POSITIF
346,gue kalo abis pjj lama terus masuk ptm lagi suka jadi males anjir,-12,NEGATIF
347,ptm minggu ini gue cuma berangkat sekali awoakwok🧍🏻‍♀️🧍🏻‍♀️,-15,NEGATIF
348,"@convomf ptm enakk, bisa lebih akrab sama temen sekelas, trus ketawa² bareng temen sekelas. Walaupun PJJ bisa sambil rebahan, tapi susah buat mengerti materi, jd ofc enak PTM",25,POSITIF
349,"@dr_koko28 Disini nakes teriak2 covid naik, disisi lain PTM anak sekolah batal, disisi lain lg Mall, Tempat Kuliner, tempat hiburan, Pasar RAME. trus mau mu apa toh leee  ? 😅😅😅",0,NETRAL
350,"gue gak ngebayangin ptm 50%
SOAL NYA ABSEN GUE JD GENAP AAAAAAA ANJGGG",-18,NEGATIF
351,@hitudt kok keren masih ptm,0,NETRAL
352,"@lljn00 masih ptm sih, tapi denger² katanya mau pjj lagi, tapi aku lebih suka pjj sih",4,POSITIF
353,@schfess masih tpi gatau dah bsk kelanjutannya bsk masih ptm apa kagak,-4,NEGATIF
354,"@subschfess pjj, soalnya kalo pjj tuh kaya fleksibel aja gitu waktunya. kalo ptm capek bgt asli bner bner gk kuat✋🏻😔",15,POSITIF
355,@fadlizon Anak sy kelas 3 SMA tahun ini di keluarkan oleh pihak sekolah karena memilih tidak mengikuti PTM .,-15,NEGATIF
356,"@subschfess tim ptm, soalnya kl pjj kaya libur trs gurunya kl pjj suka ga kasih materi tar tiba"" uh kan sebel 🙂",-3,NEGATIF
357,Kok gua masih ptm aja ya,2,POSITIF
358,@svnghoen ptm seru bisa bareng temennn pjj tugasnya makin bnyk😩😩😩,13,POSITIF
359,"buat yang ptm, semangat ya",9,POSITIF
360,@lovebysunoo terlanjur nyaman ptm meskipun pulang pulang encok,-2,NEGATIF
361,@aik_arif Dah ada pilihan buat ortu utk PTM atau PJJ. https://t.co/p7aSBzXpKz,4,POSITIF
362,yahhh masa nanti ptm nya 50% lg😔,-8,NEGATIF
363,"Pls PTM 50% jgn sampe pake absen ganjil genap, mending 1-18 aja shshsjdjd",-5,NEGATIF
364,Ya allah ga mau ptm,14,POSITIF
365,beneran ptm 50%,3,POSITIF
366,"@tjapoenglaut @Kemdikbud_RI @nadiemmakarim Bukannya siswa diijinkan memilih ptm atau online Mas ?
Atas ijin orangtuanya",-7,NEGATIF
367,"@otnayramitsme Di beberapa sudah ngga ptm lg, tp ditempatku masih ptm bang. Apalagi anak SD buset jajan berkerumun :((",-7,NEGATIF
368,"@Iwannawin0 Semangaatt nderr, semoga cpt balik PTM lagii",1,POSITIF
369,"jusat aneh banget, kenapa yg ptm tuh gak anak kelas 12 aja soalnya mereka sibuk",1,POSITIF
370,"@zpaduka pjj niss, gajadi ptm gegara c word lagi naik😭😭😭💔",-8,NEGATIF
371,anjinglah masa udah ptm 100% masih dikasih tugas di gcr,2,POSITIF
372,"@zarazettirazr Katanya tak begejala/bergejala ringan, trus PTM di DKI tetap dilanjutkan, trus kalo ngerasa sakit segera PCR, nah siapa yg diuntungkan dari situasi seperti itu?  ..",-6,NEGATIF
373,"@nanamibbygurl Pagi, enak banget yang ptm",7,POSITIF
374,"@Catatan_ali7 td udah sy contohkan kalo ptm ditutup masihlah bs org cari uang tp kl cafe yg ditutup kan gk ada omset dia, trus karyawannya gk kerja dan pajak pun pasti berhenti, itu mungkin yg terjadi menurut saya lho ya dan salah satu contoh pertimbangannya, mungkin kl mau jelas tanya pak Gub",5,POSITIF
375,@mattchafrrape Iyaa dia mager ptm karena nggak punya temen wkwk,-5,NEGATIF
376,pgn cepet cepet ptm ಥ_ಥ,7,POSITIF
377,"Kampus aing gk jadi ptm tapi bulan feb aja, sekalian online aja krn disini juga kasus lagi naik. Sekolah SMA aing udh kena :"")",nan,POSITIF
378,"@yuwantino12 @CahTalang2 @bisnis_h @CNNIndonesia @LuhutBinsarFans yaudah kalo ptm 100% masih jalan sekalian cabut status pendemi, biarin rakyat hidup bebas .. ini malah gak jelas bulan desember brita covid terkendali ehh skrng naik lagi .. covid covid tai kucing !!",-21,NEGATIF
379,"AAAAA TIDAKKK, PTM NYA 50% LAGIII",-3,NEGATIF
380,"RT @Catatan_ali7: @Dj_Bams74 Kalau pertimbanganya sektor ekonomi

Ya pendidikan juga ada pertimbangan nya seperti yg ditulis dalam berita t…",0,NETRAL
381,"PTM boleh, mudik ngga boleh. Awas aja lu yak 🥺",4,POSITIF
382,IYA duh takut bgt mana senin mau ptm 😭😭 smoga pjj dulu ajadeh ngeri https://t.co/f6VRMWi6kQ,0,NETRAL
383,@heavensbeeeee @schfess BARU SADAR KOK PJJ SIH GOBLOK HARUSNYA PTM,-3,NEGATIF
384,udah bener ptm malah daring lagi ngentot,0,NETRAL
385,"Gak PTM, gak PJJ, pasangan ini selalu lucu. WKWKKW. WOKWOKWOKWOK",3,POSITIF
386,Mari berdoa biar hari ini ngga hujan🤲 hari ini ptm ke rumah siswa yg jaraknya 17km🙂 ngajar sekalian touring😅,16,POSITIF
387,udah seneng2 ptm 100% eh pjj,10,POSITIF
388,elah LU GAUSAH PAMER KALO LAGI PTM,-11,NEGATIF
389,"gatau kenapa ptm sama pjj sama, sama’ bisa nyontek kalau ulangan",2,POSITIF
390,"@ProfesorZubairi Itu yang kumpul2 nonton barongsai juga, knapa cuma ptm doang?",-2,NEGATIF
391,"@schfess Tapi sekolah gweh di kediri dah daring, tapi kalo di nganjuk masi ptm teruss😋🤙🤙",-4,NEGATIF
392,"@seokjyniee ptm, ihh enak bangett",-2,NEGATIF
393,ni kalian jd pjj smpe seterusnya kah? knp gw cuma harini aja ya pjj senen balik ptm,-5,NEGATIF
394,"@yonk_lucu Aminn bgt kalo pjj ini mah, serem bgt kalo liat tl tu banyak yg + pas ptm😩",3,POSITIF
395,@pacarjaembul semangat ptm nya!!,4,POSITIF
396,"@aishairwn Gk bget dah, udh enakan ptm😔☝",8,POSITIF
397,yuk ptm lagii,1,POSITIF
398,@schfess Barusan aku jemput sepupuku yg gajadi ptm karena di sebelah sekolahnya ada yg positip wkwk,-5,NEGATIF
399,@ltydrugs @lljn00 kamu udah pjj lagi? doain semoga nular pjj nya aku ga suka ptm temen² kelas ku kayak setan,-6,NEGATIF
400,"RT @samsularifinnnn: Bagi perusahaan yg menerapkan test &amp; tracing dgn  baik.. disaat prokes yg kendoorrrr, PTM 100% ini sgt2 mempengaruhi p…",16,POSITIF
401,@elljjhvlas ckckck saya loh ptm ini mau berangkat kasian yang sekolahnya di rumah,-2,NEGATIF
402,"RT @ItsMe_RBH: Jika demi kesehatan dan keselamatan anak-anak di DKI, abaikan saja penolakan itu Pak @aniesbaswedan.! Jalankan PJJ seperti…",-14,NEGATIF
403,cian bgt yg daring lg :( alhamdulillah aku msh ptm hihi,2,POSITIF
404,iri iri iri sama yang masih ptm,-9,NEGATIF
405,Udah nyaman PTM eh daring lagi,6,POSITIF
406,gila kasus harian cvd naik bgt... minggu depan uda ptm k4mpus😭😭😭 duh muk tenggelam ajjjj https://t.co/zjD9OpFQML,nan,POSITIF
407,"@schfess Sorry but gue lebi suka ptm, gpp de hybrid yg penting ptm, bcs mk gue 90% praktek 😘😘😘",-14,NEGATIF
408,"@AoiLunatic88 bocahnya? atau kita?
Kita kan tim PTM selalu meski banjir bandang menyerang, meski panas tinggi juga mah",-1,NEGATIF
409,udh gadapet ijin ptm tp sekolah tetap ptm 😀😀😀,11,POSITIF
