tweet,Perbaikan
"@mogareyreno aslinya udah ptm kak, tapi lingkungan sini banyak yg kena covid jdi pjj lagi. stay safe yaa kakk",awalnya sudah ptm kak lingkungan banyak kena covid udi pjj lagi stay safe eaa
@convomfs sebenernya lebih pengen tetep ptm cuma kondisinya ga memungkinkan banget jd aku pilih pjj,sebenernya lebih pengen tetap ptm cuma kondisinya kemungkinan banget jadi aku pilih pjj
"@GratisTerbaik @aimtal Barusan dilaporin anak saya sepulang saya jemput sekolah, kalo temennya  udah gak masuk pasca vaksin om. Kata gurunya demam gak turun2. Nah loh. Untung anak saya gak saya ikutin vaksin. Alhamdulillah, sangat sehat walaupun PTM 100.  Anakq Sungguh lincah dan sehat. 💪💪",barusan laporin anak saya sebulan saya jemput sekolah kalau temennya sudah masuk pasca vaksin om kata lucunya demam turun untung anak saya saya ikut vaksin alhamdulillah sehat walau ptm anak tunggu lincah sehat
"@subschfess engga sih, soalnya emang pengen ptm terus hehe",soalnya emang pengen ptm heh
"@schfess buat sebulan kedepan belum ada ketentuan, tapi untuk 2 minggu ini ptm 100% full. aku dom jakbar",buat sebulan belum ada penentuan ptm full aku dom jakbar
sing kudune ptm ki mahasiswa. nggilani tenan sarjana ilmune ngawang awang.,kuda ptm lagi huh
uda ga ptm lagi huf,sudah ptm lagi huhf
"@convomfs masii ptm, tpi bau""nyaa si mau pjj",ptm tai maunya mau pjj
PTM diberlakukan 50 persen. Artinya siswa dibagi dua shift dalam pelaksanaan PTM. #publisherstory https://t.co/g8Ne20FMbE,ptm dilakukan persen ortunya siswa dibalik dua shift dalam pelaksanaan ptm
PTM TP GABUT,ptm gabut
"@subschfess gaaa, ak maunya ptm trus😔😔",aku maunya ptm
"barusan di wa adek yg masih SMP.
udah pada happy 2 bulanan ini PTM 100%, ketemu temen sekolah tiap hari meskipun durasi sekolah cuma 2 jam an.
ehh sekarang harus daring lagi 🥲
di sekolah mana gitu ada yg positif 39 murid. https://t.co/2owjFeO0fO",barusan adek smp ubah happy ptm ketemu teman sekolah meskipun derai sekolah jam eh arus lagi sekolah ada positif murid
"ok gapapa ptm 50 50 asal ptm, encok gue daring",ok ptm asal ptm encok gue daring
"@useraksel aku ptm 50%, di bagi sesi dan aku ga se sesi sama temen deket aku. aku sesi 1 di sesi 1 kebanyakan cowok gitu, aku cuma takut gabisa belajar fokus sama takut ga nyaman 🥺 awalnya aku mau coba tanya ke guru kelas boleh ga aku di sesi 2, eh ga bolehhh jadi nya aku bm 😭😭😩",aku ptm bagi sesi aku se sesi sama teman deket aku aku sesi sesi kebanyakan cotok aku cuma takut gabisa belajar fokus sama takut nyaman awalnya aku mau coba tanya guru kelas boleh aku sesi eh boleh jadi aku badmood
"PTM tetap berjalan dengan memerhatikan dinamika penyebaran covid-19 varian omicron serta mencermati masukan dari berbagai pihak
#BersatuDukungPemulihanRI https://t.co/5DZJ6kBMJk",ptm tetap berjalan memecatkan dinamika penyebaran covid varian omicron serta mencemari masakan dari berbagai pihak
@bIuebbIe iyaaa💔padahal pgn bgt ptm tapi malah ga jadi gara2 kasus nya naik lagii😔,iyak pengen banget ptm malah jadi gegara kasus naik lagi
@cloupssy @kqonto murid ptm koncol,murid ptm kontol
materi yg di sampaikan tuh gampang ngerti klo ptm,materi campakkan gampang ngerti kalau ptm
JGN PJJ PLS GUE SUKA PTM SOALNYA ADA WIFI GRATIS. UANG SAKU JG GA DI POTONG 😿,jangan pjj pls gue suka ptm soalnya ada wali gratis uang saku potong
"@watashiure cape tugas ga sih, kalo ptm cape fisik 😔",cape tugas kalau ptm cape fisik
tbh enak ptm dari pada pjj,to be honest enak ptm dari pjj
"Njir, bener bener dah 😂 https://t.co/r3Ya8NwvsK",njir bener bener dah
@plvtornn semangat ptm nyaaa,semangat ptm
" @ftrrii1 @Moonboy020290 Yg kocak, pas PSBB diumumin pemerintah pada ngamuk, nah org yg sm lewat di teel gw, ngamuk lg ke pemerintah krn ga setuju pakgub mo berhentiin PTM ",kocak sob diumumin pemerintah nyamuk sama lewat bebel gue nyamuk lagi pemerintah karena setuju gub mau berhentikan ptm
"@subschfess engga, pas pjj ga pengen ptm",pjj pengen ptm
"@pacarnyaminhi aaa gitu, yaampun pdhl kmrn udh enak2 ya ptm mau 100% skrg malah ada bdr lagi:(",eaa yaampun kemarin sudah enak ptm mau sekarang malah ada belajar dari rumah lagi
"@ClarissaLyi @orgcakepni @schfess bnr bangettt sekolah gue termasuk ketat bgt, sakit ringan sebatas batuk aja bnr2 gblh masuk. kmrn udh bersyukur bgt nilaiku bnyk naik ilmu nambah krna ptm, tbh ak males bgt dirumah mknya enak sekolah aja :(",benar bangett sekolah gue termasuk ketat banget sakit ringan semata batuk aja benar gaboleh masuk kemarin ubah bersyukur banget nilai ilmu tambah karena ptm to be honest aku males banget rumah enak sekolah aja
"masalahnya upraknya gadir, klo ttp ptm tugasnya juga seabrek, GAPAPA KOK GAPAPA ALIAS EMOSIII, klo mau ptm kls 10 11 aja dluuu yg kls 12 pjj seminggu buat uprakk",salahnya ujian praktek hadir kalau tetap ptm susahnya derek alias emosi kalau mau ptm kelas aja kelas pjj buat ujian praktek
@GATRA_com Ya ngapain kirim surat ke pusat ... tinggal kepala daerahnya pak @IdrisAShomad buat keputusan diberhentikan sementara PTM atau bikin kebijakan PTM 50% misalnya ... kan harusnya kepala daerah bisa mikir bukan lempar tangan ke pusat,ngatain kirim surat pusat tinggal kepala faedahnya buat keputusan berhentikan sementara ptm kebijakan ptm bisanya kepala darah mikir bukan gempar tangan pusat
@convomfs lebih ngerti pas ptm but pjj pas ulangan aja wkwkwk,lebih ngerti ptm pjj ulangan aja wkwk
"Gak apa-apa, deh. Semoga virusnya cepat berkurang dan bisa balik PTM lagi.",deh semoga itunya cepat berkurang balik ptm lagi
"@convomfs ptm kalo materi ulangan, pts pjj",ptm kalau materi ulangan ptm pjj
"@convomfs pengennya, PTM. tapi uprak nanti daring aja gapapa HAHAHAHA",pengenalan ptm ujian praktek nanti daring aja hahaha
"ini sekolah udh gilaa apaa gimana sihh, uprak daring bikin vidio tpi ttp ptm tuuu gimana yaaaa, uprak sambil belajar gtuu? plsss laaa trs kapan waktunya buat bikin vidio uprakkkkkkk absidndjdjufbc",sekolah sudah gila ujian praktek daring idiot tetap ptm eaa ujian praktek sambel belajar pls waktunya buat idiot
"Walaupun aku pusing karena sekolah (PTM), tapi kalau gak ketemu teman rasanya ada yang kurang.. u___u",yaampun aku pusing karena sekolah ptm kalau ketemu teman rasanya ada kurang
@jev_anna Ptm blm punya temen jadi daring aja deh heheh,anda ptm belum punya teman jadi daring aja deh heh
sriusan ini memding ptm aja anjig,serius mending ptm aja anjing
@jev_anna Ptm lebh enak si,ptm lebih enak
Kok sekolah gue ga pjj lagi si plis males banget ptm,sekolah gue pjj lagi plis males banget ptm
"@convomfs harusnya masih ptm buat hari ini, tapi dipulangin soalnya anak kelas sebelah ada yang positif, jadi pjj deh",ptm buat dikurangin soalnya anak kelas sebelah ada positif jadi pjj deh
"@convomfs yaallah ptm aja baru mulai tgl 14, masa mo ganti daring lagi😭 gw belum ngerasain woee",yaelah ptm aja mulai tanggal mau ganti daring lagi gue belum ngerasain woe
@dalgmcnuggets yahh ak ptm 😭,yahhh aku ptm
gue mending pjj sih daripada PTM persesi 😭✨,gue mending pjj ptm sesi
"AKU SEKARANG TIM PTM, KALO PJJ GA SESESI SM AYANG https://t.co/VoZAeeCnuw",aku sekarang tim ptm kalau pjj resesi sama sayang
Tapi kalau tetap PTM virusnya bertambah lagi.,kalau tetap ptm itunya bertambah lagi
@convomfs tim setengah setengah sih. kalo ptm terus agak jskskzjjss gitu,tim setengah setengah kalau ptm agak juak-juak
@convomfs ptm dihati,ptm dihati
Yahhh sedih sekolah gue besok udah mulai ptm 50% :(,yahhh sedih sekolah gue besok sudah ptm
@convomfs tetep ptm,tetap ptm
@ALDRLDXVR Semangat ptm,semangat ptm
"gurunya ga niat ngajar?2x pertemuan ga masuk,,udah ditelfon walas gua anjr mana ga bilang,mksdnya aja gtu pdhal klo ptm masuk muluuu",lucunya liat ngajar pertemuan masuk sudah dibeliin malas gua anjir aja kalau ptm masuk mulu
"emang kudu diberentiin dulu PTM selama 3-4 minggu. buat apaan? yaa kalo kasus meledak di usia usia sekolah tu, perlu fasilitas khusus kalo ada case terburuk sampe perlu rs. udah gitu pasti persiapannya dikit dan ga banyak yang punya tu fasilitas. tapi kita ikutin aja lord luhut🙏🏻",emang kuda direstuin ptm selama buat eaa kalau kasus meledak usia usia sekolah perlu fasilitas keurus kalau ada cabe terburu sampai perlu s sudah pasti persiapan dikit banyak punya fasilitas ikutan aja lord luhut
@schfess Awalnya pas masih PJJ ga akrab samsek dan kek gamau kenal sama temen2 sekelas. Eh pas udah PTM lama2 jadi asik,awalnya pjj akrab sama sekali kayak gamau kenal sama teman sebelah eh sudah ptm lama jadi asik
"@sssashaaa01 samaa, padahal udh nyaman ptm",sama sudah nyaman ptm
@subschfess Ngga. Aku ttp pengen pjj. Ptm ngeri sama sirkel nya. Gue yg anak bawang cuma bisa diem@pokokan,aku tetap pengen pjj ptm ngeri sama sirkel gue anak bawang cuma diem
Beruntung we can say good bye to each other... Walaupun capek ptm tapi tep aja bakal kangen. Tapi seru juga ptm:( bitj daring gua ga ngerti apa apa lagi,beruntung say good bye yaampun capek ptm tetap aja bakal kangen seru ptm biji daring gua ngerti lagi
"@subschfess kalo ptm pengen pjj, kalo pjj pengen duit sih aku mah",kalau ptm pengen pjj kalau pjj pengen duit aku mah
@jev_anna ptm lebih enak tp skrng daring lagi,anda ptm lebih enak sekarang daring lagi
@honeytoodle enakan ptm yh?,enakan ptm
@detikcom Sibuk..minta izin PTM malah safari.... promo hanya ingin dengar suara calon presiden.. aseeex,sibuk minta izin ptm malah sadari promo dengar suara halo presiden asik
when yang lain PTM tapi gua sakit di rumah 👍 https://t.co/yfVLQf6wPz,lain ptm gua sakit rumah
ok sekolah gw balik ke PTM terbatas lagi,ok sekolah gue balik ptm terbatas lagi
"Pantesan kemarin usulan PTM anak sekolah ditolak, rupanya krn udah kadung punya rencana ini🤔 https://t.co/hHtZqxKn1g",pantesan kemarin usulan ptm anak sekolah ditolak rasanya karena sudah kadang punya rencana
"@henderrryy GW JG AD UL ANJ gamau ptm dl, gile ajaa covidnya lg drastis naik😭",gue ada anjing gamau ptm gila aja covid lagi drastis naik
Btw di balam udahh pada daringg karna siswanya banyak yang kena Semoga lambarr tetep ptm,by the way bala dahh daring karena siapanya banyak kena semoga lambang tetap ptm
RT @iloyojiel: anjg ptm 50% lagi,anjing ptm lagi
"@subschfess Aku juga gitu nder tapi mencoba berpikir lebih jernih, kalo PJJ kebanyakan main lah males lah offcam lah udah gitu ga 100% merhatiin tapi kalo PTM itu asik sih walaupun sepi kelasnya, rasanya kaya bimbel terus jg lebih fokus ditambah pasti ada catatan mapel gt kalo PTM",aku nder mencela berzikir lebih jernih kalau pjj kebanyakan main males macam sudah perhatian kalau ptm asik yaampun sepi kelasnya rasanya kaya bimbingan belajar lebih fokus tambah pasti ada cacatan mata pelajaran kalau ptm
@henderrryy Lagi PJJ katanya PTM Senin tapi gatau di perpanjang lg apa g🙁,lagi pjj katanya ptm gatau diperpanjang lagi
@CNNIndonesia AB ini salah strategi terus. Tapi dia pintar mengubah ini jd panggung politik. Aslinya ga perlu minta persetujuan krn kewenangan di Daerah buat ngurangin PTM (misal jadi 50-30%). Kalo stop 100% mungkin blm bisa. Nah dia maunya 100% tanpa PTM dan minta perstujuan LBP. Jelas ngaco.,a salah tragedi pintar mengubur jadi tanggung politik awalnya perlu minta persetujuan karena kewenangan darah buat ngurangin ptm mual jadi kalau stop mungkin belum maunya ptm minta persetujuan lap jelas gaco
" @Dj_Bams74 Itu dia penting nya cari jalan keluar biar tidak merugikan Dikanal berita itu sudah bagus idenya PTM 50% pun dengan tempat usaha harus dibatasi juga Kita tempat usaha masih langgar prokes loh 😂  dibatasi 50% ternyata tanpa kita sadari kita melebih aturan",pending cari jalan keluar biar merawikan disana berita sudah bagus itunya ptm tempat usaha dibatasi tempat usaha langgam prokes dibatasi ternyata sadari berlebih aturan
"matpel nya ga sesuai jadwal ptm bngst, jadi ngacak",mata pelajaran sesuai jadwal ptm bangsat jadi ngakak
"gua mau nangisssss, males ngapa ngapain karna mendengar berita ptm 50% udah mana gt ulangan diundur muluuu gua sedih bgttt",gua mau nangis males karena menengkar berita ptm sudah mana ulangan diundur melulu gua sedih bangett
"@missufe Morningg makji, sedih bnget aku hari ini krna udh ga PTM lagi",morning maki sedih banget aku karena sudah ptm lagi
@Kdillust1218 Nda :(( gak tau sekolahku masih ptm ini,ndak tau sekolah ptm
ptm soalnya kelas gw lebih enak daripada kamar gw😓😓 https://t.co/neA9EeeiTj,ptm soalnya kelas gue lebih enak samar gue
ptm setopp aja plis beresiko bangett,ptm stop aja plis beresiko bangett
"jangan lupa sarapan dan mandi pagi kalian.. semangat buat yg pjj/ptm, yg kuliah dan yg kerja!! ✨❤️",jangan lupa harapan mandi pagi kajian semangat buat pjj ptm kuliah kerja
@sukasusumilku Mangaatss nder semoga cpt balik PTM lagiu,semangat nder semoga cepat balik ptm lagi
@taetaejungo semenjak ptm gue udh ga begadang,semenjak ptm gue sudah begadang
@codesbans PJJ SJDBDJEJDIFJ sgt menyedihkan. km hri ini pjj apa ptm,pjj objektif sangit menyedihkan pjj ptm
"gue udah 3 hari mulai ptm dan keinget gapernah ketemu crush gue padahal satu sekolah, kan gue juga pengen ketemu krass",gue sudah mulai ptm keinget gapernah ketemu crash gue sekolah gue pengen ketemu kasi
@Biruuu274 Semangat ya nder semoga cpt balik PTM lagii,semangat nder semoga cepat balik ptm lagi
"@fadlizon Susah memahami jalan pikirannya. Memprediksi puncak wabah Covid-19 / Omicron bulan Februari, tetapi penerbangan internasional dibuka, keramaian dimall terjadi, tingkat hunian RS terjadi. PTM jalan terus ?",susah memahami jalan kiranya memprediksi puncak wabah covid omicron februari penerangan internasinal dibuka kecamatan mall terjadi tingkat bunian s terjadi ptm jalan
"@rosie_ark OH MKSDNYA KU SUKA PTM, SKRG MAH AK PJJ😔",oh maksudnya suka ptm sekarang mah aku pjj
Sedih bgttttt PTM terbatas lagi 😭,sedih bangett ptm terbatas lagi
WHWHAHAH YG LAIN PTM GW MALAH ONLINE LAGI https://t.co/nwXv58Wzsz,hahaha lain ptm gue malah online lagi
"buat yg mikir buat ptm, mending jangan dulu deh. covid lgi serem bgt, sekola gua lockdown krn banyak yg positif, sekitar 10 an. keluarga gua juga kena, stay safe and healthy yaa sering sering vitamin ama makan yg sehat2, klo dingin dingin coba tunda dulu deh, klo sakit jgn panik",buat mikir buat ptm mending jangan deh covid lagi serem banget sekolah gua lockdown karena banyak positif sekar keluarga gua kena stay safe halah eaa sering sering taman sama makan sehat kalau dingin dingin coba tunda deh kalau sakit jangan panik
"RT @schfess: sch! meski skrg lagi pjj, but i love ptm so much &lt;3 https://t.co/tlO0BPUtLq",sch meski sekarang lagi pjj love ptm mual
"@schfess ptm setengah aja dah, mau lulus bentar lagi soalnya",ptm setengah aja dah mau lulus bentar lagi soalnya
"@jjnjaem aamiinn aamiin, males pjj mau ptm lagi aja 😔😭",amin amin males pjj mau ptm lagi aja
WALAUPUNNNN pjj enak siee dirumah gt ga hrsss pake seragamm ga ribet deh TAPI PTM JUGA SERUUUUUU bangettttt,walau pjj enak rumah pakai seragam ribet deh ptm seru bangett
@jyuhaney yahh🥺 semangat PTM nya ya✊🏻,yahhh semangat ptm ya
gue kalo abis pjj lama terus masuk ptm lagi suka jadi males anjir,gue kalau abis pjj lama masuk ptm lagi suka jadi males anjir
ptm minggu ini gue cuma berangkat sekali awoakwok🧍🏻‍♀️🧍🏻‍♀️,ptm gue cuma berangkat sekali wkwk
"@convomf ptm enakk, bisa lebih akrab sama temen sekelas, trus ketawa² bareng temen sekelas. Walaupun PJJ bisa sambil rebahan, tapi susah buat mengerti materi, jd ofc enak PTM",ptm enak lebih akrab sama teman sebelah ketawa bareng teman sebelah yaampun pjj sambel rebahan susah buat mengerti materi jadi fk enak ptm
"@dr_koko28 Disini nakes teriak2 covid naik, disisi lain PTM anak sekolah batal, disisi lain lg Mall, Tempat Kuliner, tempat hiburan, Pasar RAME. trus mau mu apa toh leee  ? 😅😅😅",tenaga kesehatan teriak covid disisi ptm anak sekolah batal disisi lagi mall tempat kuliner liburan pasar rame lalu mau heh
"gue gak ngebayangin ptm 50%
SOAL NYA ABSEN GUE JD GENAP AAAAAAA ANJGGG",gue bayangin ptm soal absen gue jadi genap aaaaaa anjing
@hitudt kok keren masih ptm,keren ptm
"@lljn00 masih ptm sih, tapi denger² katanya mau pjj lagi, tapi aku lebih suka pjj sih",ptm denger katanya mau pjj lagi aku lebih suka pjj
@schfess masih tpi gatau dah bsk kelanjutannya bsk masih ptm apa kagak,gatau dah besok kenyataannya besok ptm
"@subschfess pjj, soalnya kalo pjj tuh kaya fleksibel aja gitu waktunya. kalo ptm capek bgt asli bner bner gk kuat✋🏻😔",pjj soalnya kalau pjj kaya sensibel aja waktunya kalau ptm capek banget asli bener bener kuat
@fadlizon Anak sy kelas 3 SMA tahun ini di keluarkan oleh pihak sekolah karena memilih tidak mengikuti PTM .,anak saya kelas sma keluarkan boleh pihak sekolah karena memilih mengikuti ptm
"@subschfess tim ptm, soalnya kl pjj kaya libur trs gurunya kl pjj suka ga kasih materi tar tiba"" uh kan sebel 🙂",tim ptm soalnya kalau pjj kaya libur lucunya kalau pjj suka kasih materi bentar tiba huh sebel
Kok gua masih ptm aja ya,gua ptm aja ya
@svnghoen ptm seru bisa bareng temennn pjj tugasnya makin bnyk😩😩😩,ptm seru bareng teman pjj susahnya makin banyak
"buat yang ptm, semangat ya",buat ptm semangat ya
@lovebysunoo terlanjur nyaman ptm meskipun pulang pulang encok,terlanjur nyaman ptm meskipun pulang pulang encok
@aik_arif Dah ada pilihan buat ortu utk PTM atau PJJ. https://t.co/p7aSBzXpKz,dah ada pilihan buat tua ptm pjj
yahhh masa nanti ptm nya 50% lg😔,yahhh masa nanti ptm lagi
"Pls PTM 50% jgn sampe pake absen ganjil genap, mending 1-18 aja shshsjdjd",pls ptm jangan sampai pakai absen ganjil genap mending aja suspend
Ya allah ga mau ptm,ya allah mau ptm
beneran ptm 50%,beneran ptm
"@tjapoenglaut @Kemdikbud_RI @nadiemmakarim Bukannya siswa diijinkan memilih ptm atau online Mas ?
Atas ijin orangtuanya",bukannya siswa ijinkan memilih ptm online muas atas ijin tanya
"@otnayramitsme Di beberapa sudah ngga ptm lg, tp ditempatku masih ptm bang. Apalagi anak SD buset jajan berkerumun :((",sudah ptm lagi ditempatku ptm bang anak sd busen jajan berkerumun
"@Iwannawin0 Semangaatt nderr, semoga cpt balik PTM lagii",semangat nder semoga cepat balik ptm lagi
"jusat aneh banget, kenapa yg ptm tuh gak anak kelas 12 aja soalnya mereka sibuk",aneh banget ptm anak kelas aja soalnya sibuk
"@zpaduka pjj niss, gajadi ptm gegara c word lagi naik😭😭😭💔",pjj miss gajadi ptm gegara word lagi naik
anjinglah masa udah ptm 100% masih dikasih tugas di gcr,anjing masa sudah ptm dikasih tugas gcr
"@zarazettirazr Katanya tak begejala/bergejala ringan, trus PTM di DKI tetap dilanjutkan, trus kalo ngerasa sakit segera PCR, nah siapa yg diuntungkan dari situasi seperti itu?  ..",katanya tak bergejala bergejala ringan ptm dki tetap dilanjutkan kalau ngerasa sakit segera pcr diuntungkan dari situasi seperti
"@nanamibbygurl Pagi, enak banget yang ptm",pagi enak banget ptm
"@Catatan_ali7 td udah sy contohkan kalo ptm ditutup masihlah bs org cari uang tp kl cafe yg ditutup kan gk ada omset dia, trus karyawannya gk kerja dan pajak pun pasti berhenti, itu mungkin yg terjadi menurut saya lho ya dan salah satu contoh pertimbangannya, mungkin kl mau jelas tanya pak Gub",wali sudah saya contoh kalau ptm ditutup marilah cari uang kalau kafe ditutup ada omset karayawannya kerja pajak berhenti mungkin terjadi menurut saya lho salah contoh pertimbangnya mungkin kalau mau jelas tanya gub
@mattchafrrape Iyaa dia mager ptm karena nggak punya temen wkwk,iyak mager ptm karena punya teman wkwk
pgn cepet cepet ptm ಥ_ಥ,pengen cepet cepet ptm
"Kampus aing gk jadi ptm tapi bulan feb aja, sekalian online aja krn disini juga kasus lagi naik. Sekolah SMA aing udh kena :"")",kampus aing jadi ptm feb aja sesalan online aja karena kasus lagi naik sekolah sma aing sudah kena
"@yuwantino12 @CahTalang2 @bisnis_h @CNNIndonesia @LuhutBinsarFans yaudah kalo ptm 100% masih jalan sekalian cabut status pendemi, biarin rakyat hidup bebas .. ini malah gak jelas bulan desember brita covid terkendali ehh skrng naik lagi .. covid covid tai kucing !!",yaudah kalau ptm jalan sesalan cabut statis endemi biarin rakyat hidup bebas malah jelas desember berita covid terkenal ehh sekarang naik lagi covid covid tai kucing
"AAAAA TIDAKKK, PTM NYA 50% LAGIII",yaaaa ptm lagi
"RT @Catatan_ali7: @Dj_Bams74 Kalau pertimbanganya sektor ekonomi

Ya pendidikan juga ada pertimbangan nya seperti yg ditulis dalam berita t…",kalau pertimbangnya sektor ekonomi pendidikan ada pertimbangan seperti ditulis dalam berita
"PTM boleh, mudik ngga boleh. Awas aja lu yak 🥺",ptm boleh mudik boleh awas aja eaa
IYA duh takut bgt mana senin mau ptm 😭😭 smoga pjj dulu ajadeh ngeri https://t.co/f6VRMWi6kQ,iya duh takut banget mau ptm semoga pjj aja deh ngeri
@heavensbeeeee @schfess BARU SADAR KOK PJJ SIH GOBLOK HARUSNYA PTM,sadar pjj goblok ptm
udah bener ptm malah daring lagi ngentot,sudah bener ptm malah daring lagi ngentot
"Gak PTM, gak PJJ, pasangan ini selalu lucu. WKWKKW. WOKWOKWOKWOK",ptm pjj pasangan selalu lucu wkwk wkwk
Mari berdoa biar hari ini ngga hujan🤲 hari ini ptm ke rumah siswa yg jaraknya 17km🙂 ngajar sekalian touring😅,mari berdoa biar hujan ptm rumah siswa anaknya kam ngajar sesalan touring
udah seneng2 ptm 100% eh pjj,sudah seneng ptm eh pjj
elah LU GAUSAH PAMER KALO LAGI PTM,yaelah gausah pamer kalau lagi ptm
"gatau kenapa ptm sama pjj sama, sama’ bisa nyontek kalau ulangan",gatau ptm sama pjj sama sama nyontek kalau ulangan
"@ProfesorZubairi Itu yang kumpul2 nonton barongsai juga, knapa cuma ptm doang?",kumpul nonton barongsai cuma ptm doang
"@schfess Tapi sekolah gweh di kediri dah daring, tapi kalo di nganjuk masi ptm teruss😋🤙🤙",sekolah gue kebiri dah daring kalau nganjuk ptm
"@seokjyniee ptm, ihh enak bangett",ptm ihh enak bangett
ni kalian jd pjj smpe seterusnya kah? knp gw cuma harini aja ya pjj senen balik ptm,kajian jadi pjj sampai seterusnya gue cuma aja pjj balik ptm
"@yonk_lucu Aminn bgt kalo pjj ini mah, serem bgt kalo liat tl tu banyak yg + pas ptm😩",amin banget kalau pjj mah serem banget kalau liat banyak ptm
@pacarjaembul semangat ptm nya!!,semangat ptm
"@aishairwn Gk bget dah, udh enakan ptm😔☝",banget dah sudah enakan ptm
yuk ptm lagii,yuk ptm lagi
@schfess Barusan aku jemput sepupuku yg gajadi ptm karena di sebelah sekolahnya ada yg positip wkwk,barusan aku jemput sepupuku gajadi ptm karena sebelah disekolahnya ada positif wkwk
@ltydrugs @lljn00 kamu udah pjj lagi? doain semoga nular pjj nya aku ga suka ptm temen² kelas ku kayak setan,sudah pjj lagi doain semoga menular pjj aku suka ptm teman kelas kayak setan
"RT @samsularifinnnn: Bagi perusahaan yg menerapkan test &amp; tracing dgn  baik.. disaat prokes yg kendoorrrr, PTM 100% ini sgt2 mempengaruhi p…",bagi perusahaan menerapkan test tracing baik prokes kendor ptm sangit mempengaruhi
@elljjhvlas ckckck saya loh ptm ini mau berangkat kasian yang sekolahnya di rumah,ckck saya ptm mau berangkat kasian disekolahnya rumah
"RT @ItsMe_RBH: Jika demi kesehatan dan keselamatan anak-anak di DKI, abaikan saja penolakan itu Pak @aniesbaswedan.! Jalankan PJJ seperti…",jika kesehatan kesepakatan anak anak dki abaikan saja penolakan jalankan pjj seperti
cian bgt yg daring lg :( alhamdulillah aku msh ptm hihi,kasian banget daring lagi alhamdulillah aku ptm hihi
iri iri iri sama yang masih ptm,iri iri iri sama ptm
Udah nyaman PTM eh daring lagi,sudah nyaman ptm eh daring lagi
gila kasus harian cvd naik bgt... minggu depan uda ptm k4mpus😭😭😭 duh muk tenggelam ajjjj https://t.co/zjD9OpFQML,gila kasus covid banget sudah ptm mampus aduh muka tenggelem aja
"@schfess Sorry but gue lebi suka ptm, gpp de hybrid yg penting ptm, bcs mk gue 90% praktek 😘😘😘",sorry gue lebih suka ptm deh hybrid pending ptm mata kuliah gue praktek
"@AoiLunatic88 bocahnya? atau kita?
Kita kan tim PTM selalu meski banjir bandang menyerang, meski panas tinggi juga mah",bocah tim ptm banjir bandang menyerang panas tinggi mah
udh gadapet ijin ptm tp sekolah tetap ptm 😀😀😀,sudah gadapat ijin ptm sekolah tetap ptm
"@uchynagaeri enggak, aku malah masih PTM 100%. emang kenapa kok pjj lagi kamu?",aku malah ptm emang pjj lagi
SEKOLAH GW MASI PTM ANJJJ LAGI NAIK KOK NEKAT BANGET SIH SEKUL GW https://t.co/ASwlXDxmbH,sekolah gue ptm anjing lagi nekat banget sekolah gue
@hnurwahid @aniesbaswedan Kalau benar omicron SANGAT BDRBAHAYA dan ada yang ditolak permohonan penghentian PTM nya.. maka yang menolak telah melakukan perencanaan pembunuhan kepada anak sekolah dan para pendidiknya. Kira2 begitu pendapat saya,kalau benar omicron sangit berbahaya ada ditolak permohonan menghentikan ptm make menolak yelah melakukan merencanakan pengukuhan kepala anak sekolah para pendidik kira begitu pendapat saya
minggu depan sekolah ku ptm 50% yess,sekolah ptm yes
"@subschfess Ptm, gue selalu kehilangan semangat belajar kalo pjj, kalo di sekolah kan bisa sambil ngobrol atau diskusi sama temen,  materi juga jadi lebih ngerti",ptm gue selalu kehilangan semangat belajar kalau pjj kalau sekolah sambel ngobrol diskusi sama teman materi jadi lebih ngerti
"@schfess klo selama masuk ptm lu ga jaga prokes yes lu salah tp klo udh pake masker jaga jarak tp ttp kena ofc it's not ur fault, ibu2 emg mulutny kek anjing nder, anggep aja anjing menggonggong atau angin lewat, smangat senderr",kalau selama masuk ptm jaga prokes yes salah kalau sudah pakai masker jaga jarak tetap kena fk uar gaul emg maunya kayak anjing nder anggap aja anjing menyongsong angin lewat semangat sender
@sparksmingi gjdi ptm covid tinggi lol wkkwkw,gajadi ptm covid tinggi lol wkwk
"@youngtaelvity kalo aku ptm 50% kaa, hari ini doang yang bdr sama rabu itujuga kao rabu setengah hari di sekolah trus siangnya bdr deh",kalau aku ptm doang belajar dari rumah sama setengah sekolah belajar dari rumah deh
kalian yg udah ptm kalian lebih suka online apa offline guys😭,kajian sudah ptm kajian lebih suka online offline guys
" @Cintada16 Bukan bela. Tapi setidaknya dia uda nolak ptm di saat seperti skarang.  Dan ditolak pemerintah pula Dalam sisi ini dia lebih baik.",bukan beda hendaknya sudah tolak ptm seperti sekarang ditolak pemerintah puja dalam risi lebih baik
@jujuryl Gua belum ptm sama sekali🥺,gua belum ptm sama sekali
Baru kemarin gua PTM anjir☺️🙏 https://t.co/tXk4AeUYcC,kemarin gua ptm anjir
"@yonk_lucu Pagiii.. Ga bisa semangat, masi pusing mikirin ptm senin nanti tp gada kejelasan😔",pagi semangat pusing mikirin ptm nanti kejelasan
ptm tpi dosennya gaada ajg https://t.co/2K8WwVJQk8,ptm dosen gaada anjing
