,tweet,Perbaikan
260,ambil positifnya alhamdullah ptm full,ambil positif alhamdulilah ptm full
261,jujur suka ptm tapiii temen beda sesi gapunya temen lagi sesi kaya sebelumya,jujur suka ptm api teman beda sesi apanya teman lagi sesi kaya sebetulnya
262,boop gaenak lahh ptm belajar narik ingus mulu,beol gaenak lah ptm belajar tarik inget mulu
263,gara ptm julid suka lupa pls,gara ptm jilid suka lupa pls
264,semenjak ptm suka lupa deadline tugas kalo pjj inget,semenjak ptm suka lupa dendang tugas kado pjj inget
265,ayolah hentikan ptm kesehatan warga jakarta,yodah hentikan ptm kesehatan wara jakarta
266,pjj ptm pahamnya aja kurangnya kl ptm tugas byk fokus materi,pjj ptm jahatnya aja memangnya kzl ptm tugas bye fokus materi
267,gilaa ngeri banget skolah ptm dn bru kabarin kalau siswai positif covid untung milih ptm karna dilarang tua,gilak ngeri banget sekolah ptm dr baru babaran kalau siswa positif covid untung milih ptm karena dilarang tua
268,baikk tapii besokk ptm lgi ihh mls bnget,baik api besok ptm lagi ihh mls inget
269,ptm terbatas jadi lirik lirikan senyam senyum maskernya,ptm terbatas jadi sirik bisikan senyap senyum naiknya
270,anjay besok ptm,anjay besok ptm
271,iya anjir kerja kelompok mulu ptm,iya anjir kerja kelompok mulu ptm
272,sekolah udah bangkit ptm sampe varian omicron hadir ln menyebar sekolah,sekolah usah bangkit ptm sampul varian omicron hadir lo menyelar sekolah
273,enak ptm belajar lab komputer lemot lancar jaya dingin fokus,enak ptm belajar lau populer lemot lancar jaya dingin fokus
274,ptm cape tau ahaha,ptm cape tau bahasa
275,terbitnya dipertengahan ptm ribet real udah nyusun skripsi,tercinta pertentangan ptm ribet real usah nusuk deskripsi
276,ah anjirlah besok ptmt udah nyaman ptm,dah anjuran besok ptmt usah nyaman ptm
277,fifty fifty kalau ptm enak bnget tugas kelompoknya anying capek bnget,fit fit kalau ptm enak inget tugas kelompok anjing capek inget
278,adaptasi sma ptm udah masuk full wlaupun pulangnya cepet tt,adaptasi sma ptm usah masuk full yampun memangnya cepet tt
279,besok pengen ijin bleh ptm udah gadapet duit lagi serius lagi period enakkk banget,besok pengen ijin boleh ptm usah dapet duet lagi serius lagi perih enak banget
280,semenjak ptm diriku gampang pegel gampang mumet ndyas gampang ngantuk jarang makan pagi,semenjak ptm dirimu gampang pegal gampang mumet ndak gampang ngantuk jarang makan pagi
281,hadeh udh enak ptm wkwk,hadeh ugh enak ptm wkwk
282,pjj ptm kalo enjoy,pjj ptm kado enjoy
283,gimana pgn pjj org kasusnya kasusnya trus bbrp sekolah udah positif,wimana pgen pjj ora kasus kasus terus baru sekolah usah positif
284,kalo pjj enak makandengerin musikbisa selingin belajar tpstka susah mahami mater,kado pjj enak dengerin muskil seringing belajar pita susah mahal master
285,ptmtapi pengennya kejar kerja kelompok tugas individu numpuk,tetap pengguna kejar kerja kelompok tugas individual numpuk
286,yes besok ptm,yes besok ptm
287,suka ptm jujur sihh rajin alias mageran,suka ptm jujur sihh rajin rias maherat
288,ptm bngsat,ptm bangsat
289,knp ptm capek bnget,ana ptm capek inget
290,sekolahku ptm nder ademm banget keknya covid,sekolah ptm nder adek banget kena covid
291,ptm ngerasa hidup ekekekekekek,ptm ngerasa hidup kejelekan
292,pjj mkan msh teratur ptm kacau mkan karna hrus cepet brngkt pulangnya jajan kenyang mkan dha,pjj makan ish teratur ptm acau makan karena harus cepet bangkit memangnya jajan kenyang makan dia
293,kayak konsisten bnget gt pjj pjj ptm ptm,kayak konsistensi inget tt pjj pjj ptm ptm
294,pengen ptm mama,pengen ptm mama
295,nyamannya ptm,namanya ptm
296,takut full ptm disana tugastugas udah baris ngejar,takut full ptm diamana tugasnya usah garis gelar
297,ptm enaknya kelompokan,ptm naiknya kelompok
298,pengen pjj pengen ptm,pengen pjj pengen ptm
299,ptm lagi karna positif,ptm lagi karena positif
300,online siii aaa iya seru juga sihh ptm,life hiii ana iya seru juga sihh ptm
301,iyaa capek ptm,iyak capek ptm
302,anjir kalau pjj emg bet tugasnya kek ptm,anjir kalau pjj emg bot tugasnya keki ptm
303,sebulan ptm tpi udh remuk anjir badan,sebulan ptm api ugh remuk anjir badan
304,ptm pelajarannya masuk otak kalo pjj jujur aja guruku jarang banget zoom ngasih materi,ptm pelajaran masuk otak kado pjj jujur aja gubuk jarang banget zoom ngasih materi
305,pjj tpi ptm seru tpi capek badan remuk kumpul extra,pjj api ptm seru api capek badan remuk tumpul citra
306,karna udah ptm bnyak sibuk nugas,karena usah ptm banyak sibuk tugas
307,sumpah dah ptm tenang bnget anjir disuruh presentasi hafalan tampil hrs lgsg,sumpah dah ptm tenang inget anjir disuruh presentasi harapan tampil ira lost
308,syarat ptm vaksin covid anak paksaan,sarit ptm vaksin covid anak paksa
309,ptm jemput adek jujur seneng bnget liat sekolah interaksi temen seumuran,ptm jeput adek jujur seneng inget liat sekolah interaksi teman semburan
310,drpd ptm mending pjj,drum ptm mending pjj
311,bngsat doain skolah gua biar pjj males bangun pagi anj kalau ptm,bangsat doain sekolah gua biar pjj males bangun pagi ana kalau ptm
312,gua pengen pjj aja ptm,gua pengen pjj aja ptm
313,udh ptm jdi ptmt sialan,ugh ptm adi ptmt sialan
314,positif sekolah tenang ptm spt rambut gondrongdicat pulang dl mas mbak dibenerin dl rambutnya nggih,positif sekolah tenang ptm sput rambut pendongkrak pulang dr pas muak disentri dr albumnya nggak
315,kembaliin tidurku woiiii anjir ptm aja ni tugas,kembali tidur komisi anjir ptm aja ini tugas
316,sekolahku tetep ptm nai positif,sekolah tetap ptm hai positif
317,males besok ptm,males besok ptm
318,gua bosen cmn ngerasa seru ptm aja,gua bosen sun ngerasa seru ptm aja
319,kalo ptm jam segini udah ngantuk,kado ptm jam begini usah ngantuk
320,srius moga ptm gasih dah bosen gt,serius moga ptm asih dah bosen tt
321,udah gt skolah dah ptm trus gegara lagi kasusnya omicron,usah tt sekolah dah ptm terus gegara lagi kasus omicron
322,kelasnya kena word iya ptm in bs aja papasan dijalan gt sm temen,kelasnya kena word iya ptm ini es aja paparan dimakan tt smp teman
323,ptm omg kayaa rame bgtt suka,ptm oma kayak rame bot suka
324,sekolah sender ptm huhu,sekolah santer ptm hulu
325,hadueee mtk menyusahkan untung besok pjj kalo besok ptm ketar ketir ngerjain pr mtk,hadeh tk menyusahkan untung besok pjj kado besok ptm ketar kelir ngerjain dr tk
326,ptm biar semangat belajar,ptm biar semangat belajar
327,gatau bingung ngapain rumah ptm,gatau bingung ngatain rumah ptm
328,enak ptm full anak smk kayak tu skolah jm smpe jm sore jdi plng skolah udh capek bnget,enak ptm full anak smk kayak tua sekolah jam smp jam sore adi plong sekolah ugh capek inget
329,besok ptm ak galau kpn jadi positif elah,besok ptm fk gatau kpd jadi positif ulah
330,lelah ptm,lelah ptm
331,kirain ptm tugasnya eh kesana kesini kesitu kedepan hadeh,kirain ptm tugasnya teh kesian begini kesi kedepan hadeh
332,selesai magang dihantam laporan proposal kuliah udah masuk sistem ptm,selesai malang dipantau laporan protokol kuliah usah masuk sistem ptm
333,lingkungan sekolahsekolah memberlakukan ptm pjj sakit,lingkungan bersekolah memperkacaukan ptm pjj sakit
334,males banget ptm besok,males banget ptm besok
335,surat edaran ptm bru ptm udh febuari,surat edaran ptm baru ptm ugh februari
336,ncerna materi menurutku enakan ptm kalo pjj ketinggalan pemalas kayak huhu,cerna materi menurut enakan ptm kado pjj ketinggalan pemalak kayak hulu
337,besok skolah ptm malesnya ampe tulang,besok sekolah ptm balesnya ampel tulang
338,ethypnos gua mikirnya ptm khawatir kek gini,empos gua dikira ptm khawatir keki gini
339,sekolah stop ptm aja anak usia vaksin,sekolah stop ptm aja anak usia vaksin
340,ptm kah,ptm dah
341,dlu wktu sblm korona karna terbiasa ptm sukanya ptm skrng korona dah terbiasa pjj,flu watu silu karena karena terbiasa ptm gunanya ptm serang karena dah terbiasa pjj
342,pjj ptm langsung tipes,pjj ptm langsung tips
343,semenjak ptm kerjaan kalo stress nahan laper,semenjak ptm kerjaan kado stress nahan laper
344,kwkwk sekolah positifnya sekolah juga korban seminggu ptm eh skrng udh pjj,wkwkwk sekolah positif sekolah juga korban seminggu ptm teh serang ugh pjj
345,nugas besok ptm tugasnya dibawa,tugas besok ptm tugasnya dikara
346,ptm seru pjj enak,ptm seru pjj enak
347,sekolah sender ptm eh murid positif,sekolah santer ptm teh murid positif
348,ngebet ptm pake masker bener,ngebet ptm paket master bener
349,suka ptm udah kebiasa ptm paham materi tugasnya ngga pjj,suka ptm usah biasa ptm paham materi tugasnya nggak pjj
350,semoga pjj sampe ajaran allah gatau suka ptm,semoga pjj sampul jajaran allah gatau suka ptm
351,kmrn ptm kak cmn ad covid online semoga skolah adeknya covid yaa,keren ptm kak sun sad covid life semoga sekolah apanya covid ya
352,serba salah kalo pjj masuk otak kalo ptm maksain,serta salah kado pjj masuk otak kado ptm makian
353,sedih sebenernya kalo emang jalan yaudah deh sekolah sehat ptm,sedih sebenernya kado memang jalan yaudah deh sekolah sehat ptm
354,sekolah gua positif ptm,sekolah gua positif ptm
355,temanku takut ptm covid jalan jalan bali,teman takut ptm covid jalan jalan bali
356,pribadi lbh suka ptm hiks seru materi lbh nyantol nanya temen ngerti,prima lah suka ptm hias seru materi lah banyol nanya teman ngerti
357,kuliah ptm terbatas tingkatan paud tk ngatur aja susah,kuliah ptm terbatas ingatan lau tk natur aja susah
358,kalau ptm enak ngobrol bareng temen sharing materi gampang tpi santai,kalau ptm enak ngobrol bareng teman sharing materi gampang api santai
359,udaah capeek udah ptm soalnyaa,usah capek usah ptm soalnya
360,kasian banget pcr ku dibolehin masuk ptm karna sembuh,kasian banget pcr kuy disalahin masuk ptm karena sembuh
361,skolah nugas sii sklhnya udh ptm yaa trus plngnya sore,sekolah tugas sir susahnya ugh ptm ya terus gunanya sore
362,omicron sekolah maksain ptm,omicron sekolah makian ptm
363,ptm sekolahku tugasnya emang nambah repot,ptm sekolah tugasnya memang tambah repot
364,ptm tugas kelompoknya ampun banget,ptm tugas kelompok ampun banget
365,pjj ptm aja capeknya,pjj ptm aja apanya
366,bajingan ptm gini tugas presentasi banget ngentot,bajingan ptm gini tugas presentasi banget ngentot
367,ptm walopun remuk badan sosialisasi gurunya enak ngajarinnya kalo pjj pda males,ptm yampun remuk badan spesialisasi gunanya enak naiknya kado pjj ada males
368,gua dlu stan grup hapal update an semenjak ptm cuman fokus grup doang,gua flu sian grup kapal udara ana semenjak ptm cuma fokus grup doang
369,apan anjir udah ptm aja tetap dapet uang jajan,awan anjir usah ptm aja tetap dapet uang jajan
370,ko bingung nambah moment sekul ko harapannya sampe ptm,kot bingung tambah someng dekil kot harapanya sampul ptm
371,ptm tetap aja ak memilih ptm pjj,ptm tetap aja fk memilin ptm pjj
372,enak ptm tpi alias disesi,enak ptm api rias digresi
373,ptm enak dah,ptm enak dah
374,ptm udh online lagi gegara tua murid positif,ptm ugh life lagi gegara tua murid positif
375,daya ketertarikan baca au ku menurun drastis kayaknya karna ptm nyatet sm nuga,daya ketertarikan baca lau kuy menurun drastis kayaknya karena ptm nyata smp juga
376,sekolah udah ptm juga pgn ngampus,sekolah usah ptm juga pgen kampus
377,kelas ptm kena udh masuk sekolah berharihari,kelas ptm kena ugh masuk sekolah berhati-hati
378,pjj teratur ptm teratur separah pjj,pjj teratur ptm teratur separuh pjj
379,apapun gua udh liat org igs pd post result pcr positive gegara ptm ak sarjana cvd jadi parno,ampun gua ugh liat ora ira kpd lost mesut pcr positif gegara ptm fk durjana covid jadi parno
380,teguran ingatkan berkali prokes diterapkan sekolah sanksi,teguran ingatan berahi prokes diterangin sekolah saksi
381,im takut bismillah positif udh nyaman ptm anjirr,tim takut bismillah positif ugh nyaman ptm anjir
382,ptm seru cape bnget trus guru kalo tugas mending mandiri aja deh sebel bnget kalo dikelompok,ptm seru cape inget terus guru kado tugas mending mandiri aja deh sebel inget kado kelompok
383,pgn kena kopit lagi ah anjg biar pjj lagi males ptm,pgen kena kopi lagi dah anjg biar pjj lagi males ptm
384,ptm njirr pjj aiu gapunya wifi kuota miskin ptm malasku pergi kehidupanku,ptm njir pjj abu apanya kisi kuota miskin ptm malak pergi ketiduran
385,sumpah ptm seru bnget sieeeee,sumpah ptm seru inget sepele
386,ptm maunya pjj aja cape crush gapeka,ptm maunya pjj aja cape crash apek
387,pjj teratur ptm berantakan cmn makan sarapan,pjj teratur ptm berantakan sun makan harapan
388,segobloknya ptm mending ptm genuine pjj bener bener kena mental gamau,soalnya ptm mending ptm gending pjj bener bener kena mental gamau
389,kuat ptm tolongg haloo kameranya dimana melambaikan tangan,kuat ptm tolong haloo katanya diamana melarikan tangan
390,males bnget anjing bsok ptm,males inget anjing besok ptm
391,kek abis skolah dinyatain terpapar covid skolah tibatiba dibatalin ptm nyaaaa,keki abis sekolah dikatain terpapar covid sekolah tetiba dikatain ptm yaaaa
392,bahaya udh sebulan ptm sekarng bosen,bahaya ugh sebulan ptm sekarang bosen
393,kalo ulangan ptm kalo ulangan pjj tetap hati,kado ulangan ptm kado ulangan pjj tetap hati
394,keren mananya enak ptm,keren matanya enak ptm
395,bingung mbah udah paksin ptm anak sd logikanya mahasiswa mudah diatur,bingung ubah usah vaksin ptm anak sd naiknya mahasiswa mudah donatur
396,covid tetep ptm hadeh kontol,covid tetap ptm hadeh kontol
397,nie ak kalo ptm tepar,nice fk kado ptm tepar
398,arusnya sekolah online ptm dah gila online kecuali swasta,akunya sekolah life ptm dah gila life kembali swasta
399,besok udh ptm lagii tpi males bnget,besok ugh ptm lagi api males inget
400,eneran deh dr ptm belajar jadi teratur bnget ngerasa progress samsek ueeee,beneran deh dr ptm belajar jadi teratur inget ngerasa protes sampuk perek
401,ebenernya suka pjj kalo ptm cuci mata,sebenernya suka pjj kado ptm cuci mata
402,capek banget tugas kalo pjj ptm ae anjing,capek banget tugas kado pjj ptm tae anjing
403,ptm dah tertanda kakak kesepian adeknya rumah,ptm dah pertanda kakas kesepian apanya rumah
404,badan sakit ptm,badan sakit ptm
405,ptm serukalo temen,ptm berakal teman
406,hmm ngawi ptm diliburkan dariing,rem ngopi ptm liburan daring
407,gua doa buruk buruk semoga sekolah gua kena covid gagal ptm,gua doa buruk buruk semoga sekolah gua kena covid gagal ptm
408,plis deh udah nyaman ptm ketemu temenmsih kerja kelompok ujian bentar mesti pjj,plis deh usah nyaman ptm ketemu temenin kerja kelompok ujian bentar meski pjj
409,gua dikibulin guru pjok taunya beneran daring awikwikwik ptm yhaaa kocak,gua ditidurin guru pojok maunya beneran daring wkwkwk ptm yaaaa kocak
410,ak kalau tugas suka pjj kalau ptm suka keburu lupa males aneh tpi nyata,fk kalau tugas suka pjj kalau ptm suka keburu lupa males aneh api nyata
411,eh bener bnget sumpah ptm xcxb mapel tugas gila,teh bener inget sumpah ptm xx gatel tugas gila
412,pengen ptm,pengen ptm
413,sekolah kaga ptm udah pjj anjeng,sekolah kada ptm usah pjj anjeng
414,allah ptm,allah ptm
415,pusing bnget semenjak ptm knp tugasnya ngotak diatasin juga seburuk,pusing inget semenjak ptm ana tugasnya nggak diapain juga buruk
416,semenjak ptm full tidur siang malemnya jadi gampang ngantuk,semenjak ptm full tidur siang balesnya jadi gampang ngantuk
417,gajadi ptm,gajadi ptm
418,ptm guru lagi ad rapat pjj siang sesuai jadwal sesi ngerjain latihan,ptm guru lagi sad rapat pjj siang sesuai jadwal sesi ngerjain latihan
419,samaaa besok ak ptm males,sambar besok fk ptm males
420,pagi ptm yeayy alhamdulilah bebas tugass kegiatan lumayan singkat,pagi ptm ready alhamdulilah bebas tugas kegiatan lumayan singkat
421,allah ngeri bnget skskssk kemaren sekolah ku udh kena seminggu online lgi tpi ptm,allah ngeri inget wkwkwk kemarin sekolah kuy ugh kena seminggu life lagi api ptm
422,sumpah sbm cacat bet cacat tai udh ad kena covid masi aja ptm,sumpah rem cacat bot cacat tai ugh sad kena covid nasi aja ptm
423,mendukung kebijakan melanjutkan ptm terbatas ancaman learning loss berbaya,mendukung kebijakan lanjutkan ptm terbatas ancaman daring lost berjaya
424,ptm sekolah terancam turun duit jajan kekumpul sejuta,ptm sekolah teranyar turun duet jajan berumpun juta
425,jujur ptm numpuk tugas iniiii pjj ajaa cape banget bong,jujur ptm numpuk tugas intrik pjj aja cape banget boong
426,semenjak ptm jam segini udah ngantuk,semenjak ptm jam begini usah ngantuk
427,ptm kalo pjj bisanya plangaplongo doang kaga paham,ptm kado pjj bisanya plonga-plongo doang kada paham
428,jamannya masuk sekolah pakai ijin tua ptm masuk pakai alasan diijinin tua,jahatnya masuk sekolah pakai ijin tua ptm masuk pakai alasan diajarin tua
429,jujur ptm capek bnget,jujur ptm capek inget
430,pemerintah sekolah mutusin ptm terbatas udah mikir resikonya aja,pemerintah sekolah putusan ptm terbatas usah mikir beresikonya aja
431,udah ptm masi aja ngambil jam istirahat daring,usah ptm nasi aja gembil jam istirahat daring
432,setujuu hentikan ptm daring,setuju hentikan ptm daring
433,ptm capek banget,ptm capek banget
434,ptm stress tetep ketawa kalo stress temen aokwaowk,ptm stress tetap ketawa kado stress teman wkwkwk
435,duh males bngt ptm,duh males begu ptm
436,udah nyaman sm ptm,usah nyaman smp ptm
437,udah fix hybrid ptm domisili kota smg,usah fit nyari ptm komisi kota smga
438,ptm ngabisin uang gua ahhh nambah,ptm najisin uang gua ihhh tambah
439,ptm capek ptm ngerti pelajaran,ptm capek ptm ngerti pelajaran
440,ngerasa butuh tambahan kaya padet banget semenjak udah ptm,ngerasa butuh tambahan kaya paket banget semenjak usah ptm
441,udh nyaman ptm seru banget ngerti materi materinya,ugh nyaman ptm seru banget ngerti materi hatinya
442,gua kalo udh ptm jadi seneng deh ketemu temen wkwkwk,gua kado ugh ptm jadi seneng deh ketemu teman wkwkwk
443,sekolah anak bagus menerapkan prokes muridmuridnya anak sekolah wlopun dpn sdh ujian sdh ptm elemen sekolah juga mengantarkan senang ptm,sekolah anak bagus menetapkan prokes muridnya anak sekolah lopak api sd ujian sd ptm lemes sekolah juga menganjurkan senang ptm
444,seneng deh tmn kelas seru bnget huhu gamau pjj ptm aja libur seminggu,seneng deh tun kelas seru inget hulu gamau pjj ptm aja libur seminggu
445,convoms narasi picture covid ptm gamau libur,konveks narasi pinter covid ptm gamau libur
446,tepar ptm,tepar ptm
447,ptm kalo dibagi kelas tetep jauhan duduknya,ptm kado bagi kelas tetap jauhin lucunya
448,guru suka ptm karna anak didik keliatan kemampuan menerima pelajaran kayak gimana,guru suka ptm karena anak didik keliatan kemampuan menerima pelajaran kayak wimana
449,yeyyy vaksin ptm walopun mentalnya,ready vaksin ptm yampun mantannya
450,allah pr bnyk bnget semenjak ptm,allah dr bonyok inget semenjak ptm
451,kepikiran gitu jujur seneng bangeeeettt ptm tetap aj takut,pemikiran gitu jujur seneng bangett ptm tetap aja takut
452,ptm tai kucing,ptm tai kucing
453,bismillah kampus gajadi ptm ptm seminggu seminggu gitu sayang kucingku,bismillah kampus gajadi ptm ptm seminggu seminggu gitu sayang kucing
454,adinya online offline trus kemaren form ptm,apanya life fine terus kemarin forum ptm
455,sekolah ptm please kasihan anakanak sakit kasih opsi aja ptm offline udah stabil,sekolah ptm please kasihan anakan sakit kasih api aja ptm fine usah stabil
456,alias semenjak ptm bener kerja kelompok,rias semenjak ptm bener kerja kelompok
457,biar pelarangan ptm anak divaksin,biar penerangan ptm anak vaksin
458,dengar ptm tatap muka belajarnya kerjanya wfh kondisi stabil bngt,dengar ptm tatap muka sewajarnya kiranya wah komisi stabil begu
459,emg taiiii udah swab sekolah hasilnya negatif prokes ketat eh sekolah ptm,emg tafsir usah swab sekolah hatinya negatif prokes ketat teh sekolah ptm
460,ptm masuk materinya,ptm masuk hatinya
461,dirindukan emak ptm anak mandiri bawa minum segede gentong worksheet seberat beban hidup,kerinduan emak ptm anak mandiri bawa minum segeh sentong boksen segera beban hidup
462,jujur ptm pikiran burukku sekolah berkurang capek pikiranku kerasa ringan,jujur ptm pikiran buruk sekolah berkurang capek pikiran berasa ringan
463,pls iya bnget sekolah ku pjj positif ptm cvd tbl tbl tbl,pls iya inget sekolah kuy pjj positif ptm covid tol tol tol
464,pribadi ptmt kebijakan sekolah,prima ptmt kebijakan sekolah
465,capek bnget plis energinya kebuang interaksi udh mah kelasnya panas pulang sekolah nugas,capek inget plis senengnya keluang interaksi ugh dah kelasnya panas pulang sekolah tugas
466,asus omicron yaa aduh mah pjj sedih udah nyaman ptm,kasus omicron ya aduh dah pjj sedih usah nyaman ptm
467,pjj mah ptm tremor banget,pjj dah ptm rumor banget
468,kalo ptm maybe covid,kado ptm mayit covid
469,ptm ngabisin energi masi lebi cape sm pjj,ptm najisin energi nasi lebih cape smp pjj
470,pls jgn smpe sekola tutup gua suka ptm ngerti pelajaran,pls jin smp sekolah tutup gua suka ptm ngerti pelajaran
471,sekolahku aneh bnget tbtb ptm,sekolah aneh inget tt ptm
472,mkin lmaaa skolah ptm mkin capek,makin yaaaa sekolah ptm makin capek
473,ua ngeri ptm tu tau kalo sma deket rumah ditutup positif,ua ngeri ptm tua tau kado sma deket rumah ditutup positif
474,brp anak indonesia mengalami learning loss nearip ptm,ira anak indonesia mengalami daring lost nyari ptm
475,kena anak temanku jaktim pulang sekolah suhu tubuh tenggorokan radang periksa ptm,kena anak teman takzim pulang sekolah sudu tubuh menggelikan radang periksa ptm
476,anakanak sekolah jakarta rada khawatir ptm full covid,anakan sekolah jakarta raya khawatir ptm full covid
477,iyaaa kakk neya kamisjumat pjj gitu anak kelas positif huuff sedih gaakk sekolah,iyak kaki naena kismat pjj gitu anak kelas positif heula sedih gaada sekolah
478,nderr jujurr ptm produktif tidur seharian rajin,nder jujur ptm produktif tidur sehari rajin
479,bingung tua mudah parnoan sekolah ditutup anak elo dah vaksin takut ptm,bingung tua mudah parno sekolah ditutup anak ego dah vaksin takut ptm
480,serem dh tmn online kn ptm trus abis cek trus positif anying,serem dah tun life ken ptm terus abis cek terus positif anjing
481,dentjii ptm libur jdi daring sehari rumah tpi tugas byk bgtt asksk,dengki ptm libur adi daring sehari rumah api tugas bye bot asik
482,eneran dah ptm energi gua terkuras habis bgtt membiasakan sisa stamina sekolah,beneran dah ptm energi gua terkuak habis bot membiasakan sisa stamina sekolah
483,capekk gua bosenan cerita ptm,capek gua bosan cerita ptm
484,hahaha ptm capek,bahasa ptm capek
485,asli berani aja ptm undur ina,asli berani aja ptm andur ira
486,dr buka ptm dihimbau ditutup seminggu anak sd smpai skrng daring walau temannya ptm wajib ptm sy mengizinkan anak sd divaksin kecuali man pt sdh divaksin sy izinkan ptm,dr buka ptm dirimu ditutup seminggu anak sd smpai serang daring walau temennya ptm wajib ptm shy mengizinkan anak sd vaksin kembali man tt sd vaksin shy ijinkan ptm
487,ptm udah muak banget belajar pjj shit udah bego bego,ptm usah muak banget belajar pjj shit usah bego bego
488,online nder ptm aja sekolah,life nder ptm aja sekolah
489,jujur engene ptm ketar ketir broo,jujur ngenes ptm ketar kelir beol
490,ptm,ptm
491,gweh dh nyaman ptm woe aisjaishksjs,gres dah nyaman ptm soe bisikan
492,plis ptm terbuka banget ngelatih mental biar takut or khawatir,plis ptm terbuka banget pelatih mental biar takut dr khawatir
493,capeknya milih ptm karna cepat paham,apanya milih ptm karena cepat paham
494,pengen ngomong ttg kebijakan pjjptm tpi keknya kapasibilitas,pengen ngomong tt kebijakan pjj api kena kapabilitas
495,ptm pjj susah ngerti pelajaran trus screentime gampang cape ngga ngapain mending ptm,ptm pjj susah ngerti pelajaran terus sentimen gampang cape nggak ngatain mending ptm
496,disuruh daring big noo mauuuu ptm capek bnget suka produktif,disuruh daring bir nol maujud ptm capek inget suka produktif
497,keterlambatan booster beresiko ptmt harap diperhatikan,keterlibatan blaster berisik ptmt harap perhatian
498,adek gua ptm offline jam doang,adek gua ptm fine jam doang
499,ptm susah belajar utbk udah capeeeeee duluan cape bnget dipaksain belajar sakit,ptm susah belajar usik usah cemeeh duluan cape inget dipaksa belajar sakit
500,ptm temen kelas seru seru banget,ptm teman kelas seru seru banget
501,taun ptm seminggu ptm full dibatalin gara tua murid setuju,taun ptm seminggu ptm full dikatain gara tua murid setuju
502,aaaaa ptm bln februari,yaaaa ptm sun februari
503,kopid nanjak lagi ptm tetap dilakuin knp,kopi manja lagi ptm tetap dimakan ana
504,cepet cepet ptm deh gua gila anj kalo pjj isiannya kelompok,cepet cepet ptm deh gua gila ana kado pjj kesiannya kelompok
505,daring skola ptm tutup huhhh capek,daring idola ptm tutup ihhh capek
506,ptm emosi stabil,ptm emosi stabil
507,gejala gejala swab antigen swab pcr tau tau positifsadar efek ptm,gejala gejala swab antigen swab pcr tau tau positif efek ptm
508,dilematis ptm dilaksanakan pemrintah waspadalah omicron bertambah kontradiksi,dilema ptm melaksanakan pemerintah waspada omicron bertambah kontradiksi
509,tebak hbs ptm full daring,tebak gbs ptm full daring
510,sekolahku tetep ptm nder guru and siswa positif,sekolah tetap ptm nder guru ana siswa positif
511,ni sma pgn ptm eh kuliah mending pjj anjir,ini sma pgen ptm teh kuliah mending pjj anjir
512,ni covid udah kekeh ptm,ini covid usah jebeh ptm
513,istirahat minum obat ptm deh bahaya get well soon,istirahat minum obat ptm deh bahaya got beol oon
514,hahahaha kuat ntr bunda ptm demo bersilid silid,mahabah kuat sir bunda ptm demo bersilih silit
515,pesimis ptm berjalan kalo gini,gerimis ptm berjalan kado gini
516,pjj ptm asik sekarng,pjj ptm asik sekarang
517,ptm serius seru banget temen paham materi bgo bngt kimia skrng kayak master,ptm serius seru banget teman paham materi bego begu kisi serang kayak master
518,cov terdeteksi sekolah imho mas menteri mengevaluasi ptm,covid mendeteksi sekolah maho pas menteri mengawasi ptm
519,udah nyaman bnget ptm pjj goblok doang,usah nyaman inget ptm pjj goblok doang
520,celah sekolah diadakan ptm dimasukkin muridmurid hadir,celah sekolah dimakan ptm dimakan mucikari hadir
521,ngajar gini sumpah capek banget wes mending pjj ptm separoh,ngajak gini sumpah capek banget yes mending pjj ptm separuh
522,fairuzsalwa koko bener bangetsampe bocil divaksin sekolah ptm,barusam poko bener bangsat bedil vaksin sekolah ptm
523,pls ak daring aja ketimbang ptm,pls fk daring aja setimbang ptm
524,trus ptm udh ko ptm lanjutkankasian anak,terus ptm ugh kot ptm lanjutkan anak
525,schfess pjjtau kondisi ngotot ptm,stress putau komisi ngotot ptm
526,both are good pjj fleksibel belajarnya ambis ptm materi masuk materi matematika,bot aru good pjj sensibel sewajarnya ambisi ptm materi masuk materi matematika
527,ptm stres bareng bareng,ptm stres bareng bareng
528,penerapan ptm kn dah zona hijau dn ptm kesiapan dn prokes ketat,peresapan ptm ken dah nona hijau dr ptm kesialan dr prokes ketat
529,kl distopminimal ptm,kzl minimal ptm
530,sebenernya negara berani banget ptm,sebenernya negara berani banget ptm
531,sekolah stop ptm aja anak usia vaksin,sekolah stop ptm aja anak usia vaksin
532,kena covid ptm aja udah aneh,kena covid ptm aja usah aneh
533,convomfs sekolah ptm banyakan sekolah siswa guru abai,konveks sekolah ptm kebanyakan sekolah siswa guru abai
534,kendati ditemukan sekolah guru siswa tenaga kependidikan ptm distop,kendati dimakan sekolah guru siswa tenaga berpendidikan ptm distop
535,pelaksanaan ptm bebani psikologis guru tua,pelaksanaan ptm beban seksologis guru tua
536,jichakyu samaaa kak ak juga aja tt ak semenjak sekolah udh ptm tiaap capek bnget trus jdi mood,rahayu sambar kak fk juga aja tt fk semenjak sekolah ugh ptm tilap capek inget terus adi mood
537,terpantau tdak kuat ptm,terpana ndak kuat ptm
538,allah gamau ptm kalo pjj gamau,allah gamau ptm kado pjj gamau
539,males ptm main sirkel anjrit pilih pilih temen banget ngerti,males ptm main simpel angit pilih pilih teman banget ngerti
