id,Opini,Bahasa,Sentimen
256,"@betterperl aku balik ptm 50%, jadi masuknya gantian lagi gitu'",Indonesia,
257,"@schfess Tp ini jg krn ptm 100% dan kantin buka, dulu pas masih 50% kantin tutup alhamdulillah aman2 aja'",Indonesia,
258,"@galvantariksa jujur gue tuh seneng-seneng aja hari senin karena full ptm, tapi baru seminggu full ptm udah disuruh 50% lagi anjj'",Indonesia,
259,@schfess Kalo punyaku besok mulai ptm 50% lagi Gak tau juga kenapa',Indonesia,
260,"@gianrln ehh asikk, aku jadinya ptm 50% nih karena sma tetangga ada yang positif. mungkin di sekolahku juga ada ...'",Indonesia,
261,pingin ptm 50% lagiii',Indonesia,Positif
262,"siallll, sekolahku ptm 50% lagiii....'",Indonesia,
263,"@schfess jdi ptm 50%, pelajaran produktif ajasi yg kayak praktikum gtuu sama ditambah mtk,pjok,bk'",Indonesia,
264,"@gurlllreen SEKOLAH AK GAADA YANG COVID TAPI PTM  50% TRSSS  tapi gpp deh, kalo 100% mah ngeri circle nya'",Indonesia,
265,@pusmpkin pjj nya selang seling kak jd sama aja... yg ptm 50% pjj 50% mana aku dapetnya senin anjrit malesss',Indonesia,
266,Udah nyaman ptm 100% ini mau ptmt 50% huftt',Indonesia,Positif
267,"Moots, ini bukan mau nakut-nakutin ya. Tapi Omicron ini emang cuepet nyebarnya. Salah satu teman di FB, anaknya SD/ https://t.co/fSOLFBMZ9z'",Indonesia,
268,"Anjj sekolah ku gak adil bgt njirr.. ptm 50% lagi, ganjil genap.. minggu kmrn genap sampe jam 10.15 trs minggu beso https://t.co/J7PcOzy1p9'",Indonesia,
269,"@convomf Balik 50% lagi nder, jadi sehari ptm sehari pjj'",Indonesia,
270,anjer blik lg ptm 50%',Indonesia,
271,padal sedang merasakan indahnya ptm 100% eh malah diubah jadi ptm 50%. taik taikk',Indonesia,
272,"@DKIJakarta Gmn dengan PTM yang 100%....WFH aja 50%...selamat kan jg dong anak"" jangan hanya pekerja aja yg di selamatkan...'",Indonesia,
273,w pengen nya 50% pjj 50% ptm',Indonesia,
274,@Hilmi28 @Adra_silent Jogja kembali berlakukan PTM 50 persen setelah bbrp siswa positif..smg segera landai lagi..',Indonesia,
275,Jujur pengen ptm tapi bukan 100% karena gue takut  orang 50% aja masih pada buka masker apalagi 100%.',Indonesia,
276,"Sekolahku hari Senin besok mau uji coba pake sistem hybrid 50% ptm 50% pjj, karena ada siswa sekolah sebelah yang k https://t.co/jshGjMd2xn'",Indonesia,
277,"SchApp! sender udah PTM tapi masih disesi ,Ya Allah sender masuk jam 10.50-14.40 seharusnya sesi 1 jam 07.00-10.40 tapi sesi 2 protesss'",Indonesia,
278,"aaaaaaa, mau ptm 50 lg jogjaaaa kaaaachhhh'",Indonesia,
279,dih anj ptm 50% lagi....',Indonesia,
280,"@haezkith iya deh kayaknya,, di sekolah aku aja banyak yang izin, APALAGI PAS ITU kelas aku yang masuk (masih di fa https://t.co/mctURHcdQF'",Indonesia,
281,semoga ptm 50% aja',Indonesia,
282,"RT @infinitydipsy: @schfess Hadeh emang serba salah ngadain PTM 100% dimasa sekarang gini, kalau terusin PJJ materi ga paham, PTM 50% cuman '",Indonesia,
283,@schfess emang paling bener ptm 50% ga full online tapi ga full offline juga kan.',Indonesia,
284,"JUJUR agak seneng ptm 50% soalnya gajadi penilaian olahraga, aku gabisa cuyyyyy nangis'",Indonesia,
285,"@tjapoenglaut Di sekolah anakku, minggu depan mulai online. kebijakan diambil krn kepseknya positif.. Adeknya 50% P https://t.co/92OkSkNdx4'",Indonesia,
286,plis ptm lagi kek tpi jgn 50%',Indonesia,
287,"b""@kenzkjks ptm 50% gtu, masih setengah' and I hope si Ga pjj lagi ya""",Indonesia,
288,"@schfess Sekolah aku 50% PTM,Semoga aja gak pjj'",Indonesia,
289,"RT @john_parker26: @jokowi Pak anak sekolah sdh PTM 100%, mohon dipertimbangkan lagi buat PTM 50% dahulu, jangan menunggu di suatu sekolah '",Indonesia,
290,"@schfess lah sama dom ku juga 50 50 lagi 100% cuma sehari doang, tapii aku bersyukur sih daripada sama sekali ga PTM malah lebih sedih:('",Indonesia,
291,ni ptm 50% doang aku jd mager sekolah',Indonesia,
292,@yaiyagituuu Stay safe ptm 50 tu ga enak bgt',Indonesia,
293,"@seashorepeony sekolahku baru mulai full ptm 100% tuh minggu ini, tapi gara-gara Omicron minggu depan mulai 50% lagi'",Indonesia,
294,"@schfess 100% , aku tipe org yg belajar harus diskusi. dan di 50% itu aku gapunya temen diskusi jadi belajarnya ben https://t.co/CxdSe5wosk'",Indonesia,
295,@republikaonline Yang penting itu ptm 100% ditunda dulu 1 bulan dan kantor W.F.H atau W.F.H. 50%.........INI LEBIH https://t.co/5fsuAmOIXk',Indonesia,
296,"Sebenernya takut ptm 100% gini, tapi jujur ngga mau PJJ anjir bisa gila kalo PJJ lagi, mending 50% aja lah ya'",Indonesia,
297,@schfess ptm 100% kaloo ptm 50% tuhh mainn circle kaloo udah ketemu sekelas semua. ga seruuu. jadii mending yg 100%',Indonesia,
298,ni ptm 50% tar lama lama pjj AAMIIN',Indonesia,
299,"@artemisstudy waaa, sebetulnya aku ngerti sih kenapa papamu ngga bolehin, soalnya omicron emang lagi ngejamur bange https://t.co/nO0bPoaeKv'",Indonesia,
300,"@schfess I prefer 50% karna situasi ga sepenuhnya memungkinkan, aku udah ptm dan asli sebenernya enakan ptm, materi https://t.co/KWFPdTovTf'",Indonesia,
301,@schfess Belum pernah ptm 100% 5. Tapi aku pengen ngerasain ptm 100% soalnya temen-temen yg aku kenal ada di sesi 1. https://t.co/kdvtvev73h',Indonesia,
302,@schfess PTM 50% enak agak sepi',Indonesia,
303,"@schfess Awalnya 50% soalnya lebih dikit orangnya, lebih tenang. Ternyata seruan ptm 100%, banyak temen di kelas sa https://t.co/ZSHSfXD2Qo'",Indonesia,
304,"@schfess 50% biar ada istirahat nya terus aku gk suka yg rame"", tapi mingdep angkatan di sekolah ku PTM 100% '",Indonesia,
305,semoga bsk senin 50 50 lagi deh ptm nya ',Indonesia,
306,"@schfess PTM 50% SUMPAHHHH, LEBIH TENANGG'",Indonesia,Positif
307,@schfess PTM 50% karena di sesi lain banyak masalaahhh gak mau kebawa bawa',Indonesia,
308,"@schfess tergantung , kalau masih 50% mending pjj aja sekalian semua , soalnya kalau setengah2 gtu yg daring ga kep https://t.co/jLy0vSTpiE'",Indonesia,
309,"@schfess engga, pengennya PTM tapi 50% aja ga kaya sekarang 100%. soalnya selain karena masih pandemi &amp; tren kasus https://t.co/6NMHHBHVyk'",Indonesia,
310,"@schfess 50 50 sihh, soalnya klo ptm fisik kerasa bgt capeknya, klo pjj capek mental'",Indonesia,
311,"@schfess aku mau, tpi ptm 50% g mau 100% alias 50% GW DH CPEK KLI ANJIM 1 hari sekolah 1 hr daring gitu. g tw lg g https://t.co/ll91akWNqX'",Indonesia,
312,"@schfess Enakan ptm sih tugasnya ga terlalu banyak,pjj enak juga lebih santai tapi tugasnya video terus jadi mendin https://t.co/XGNMpdPscl'",Indonesia,
313,"@schfess 50 50,  kebanyakan kelompok/presentasi kalau ptm, tp gphm materi klau pjj'",Indonesia,
314,@schfess dikelasku aja tadi yg izin ada 7. gara  itu sekolahku balik lagi ptm 50%. Alhamdulillah aku udh sembuh sih',Indonesia,
315,@schfess ptm 50% soalnya kalau ptm 100% susah bagi waktuu:(',Indonesia,
316,"RT @shiningmoment18: @schfess 50 50~ ptm sekarang tugas kelompoknya too much (mana seringnya kerja sendiri ), di sekolah nugas, di rumah pr '",Indonesia,
317,"@schfess sering banget beda pendapat, trus berasa beda kelas, bercircle, trus aku ngerasa kurang adil sih soalnya p https://t.co/iNASd9Wkvp'",Indonesia,
318,"@schfess gamauu, pengennya ptm tp cuma 50%. kl 100% gakuat bgtt rasanya kelas tu penuhh sekolah penuhhh.'",Indonesia,
319,@schfess soalny ptm ny cm 50% doang klo 100% asik aja deh',Indonesia,
320,APAKAH SENIN PTM AKAN 50% LAGI??  males',Indonesia,Negatif
321,sekolah gua masih 50% ptm tp sekolah lain udah di kasih surat buat pjj  dn skolah gw blm skolah gw udh kek tahu 'https://t.co/bGSiliXsV',Indonesia,
322,"gue mau cerita, KEMAREN KAN GUE 50% PTM. KABAR BAIK NYA ADALAH GUE UDAH MULAI BISA AKRA'SAMA TEMEN2 SE SESI GUEEE! https://t.co/EQ1bl5Jnbh'",Indonesia,
323,Sebenernya lebih enakan PTM 100% gasi jadi sekalian capek??? Daripada PTM 50% terus pulang-pulang mesti sekolah lagi!????',Indonesia,
324,"RT @john_parker26: @jokowi Pak anak sekolah sdh PTM 100%, mohon dipertimbangkan lagi buat PTM 50% dahulu, jangan menunggu di suatu sekolah '",Indonesia,
325,"RT @KSPgoid: ""Jika angka kasus di Jakarta semakin naik dan level PPKM jadi level 3, maka otomatis PTM dibatasi maksimal 50 persen. Tapi jik '",Indonesia,
326,"btw sekolah gue emg belum ptm 100% masi 50% 50%, tp karena kemarin ada yg positif inimah gue yakin gabakal ptm 100% https://t.co/ncaDf8Wq45'",Indonesia,
327,@schfess Awalnya pas mau ptm 100% gw ngeluh krn pasti bakal berisik dan gw udh nyaman 50-50. Tapi begitu dijalanin https://t.co/8ervqkSyPy',Indonesia,
328,@schfess ptm 50% tuh sepi bangeeet gue ga se sesi sama temen gueee\xf0\x9f\x98\xad ptm 100% rame banget kdg kalo nunggu jemputan t https://t.co/kg6fIxaMRq',Indonesia,
329,"@schfess ngga , ptm 100% cuma seminggu , abis tu 50% lagi huhu'",Indonesia,
330,"@jokowi Pak anak sekolah sdh PTM 100%, mohon dipertimbangkan lagi buat PTM 50% dahulu, jangan menunggu di suatu sek https://t.co/G01hwnbUc1'",Indonesia,
331,"@collegemenfess belum ada info resmi, tapi rumornya prodi sebelah bakalan pake sistem gilir gitu (50% ptm sampai ut https://t.co/47kaEi2ej1'",Indonesia,
332,kalo ptm nya masih 50% terus mah mending pjj  https://t.co/QgJgD5SqSA',Indonesia,
333,"b""Bener kata tiara, kelas 12 bikin stress Ini juga masih ptm 50% Gimana kalo ptm full 100% coba:')""",Indonesia,
334,"@convomfs aku yg biasanya 50% trs kmrn ada coba ptm 100% malah pusing nder, biasanya sepi krikkrik jd rame+berisik https://t.co/zEZymXN9YY'",Indonesia,
335,pengen balik ptm 50% lagi tolongggg :((',Indonesia,Positif
336,@schfess 50% krna hmpir stngah tahun udh ptm jd udh menyesuaikan dirii sm sesi A ini',Indonesia,
337,"@schfess 50% ofc GUE JADI TERLIHAT OLEH GURU, SOALNYA KELASAN GUA BACOT BGT BABYCK BERISIK ORANG ORANGNYA CARI MUKA https://t.co/gU1qBWdHzm'",Indonesia,
338,"@schfess PTM 100%, 50% bnr2 ga efektif mnrt gue'",Indonesia,
339,"@schfess ptm (50%) enak karna materi bisa masuk ke otak, bisa interaksi langsung sama temen &amp; guru. pjj juga enak k https://t.co/tFkU0dBH4C'",Indonesia,
340,"@schfess Adek aku jdi ptm 50% skrng krn tmnnya +.. masalahnya minggu +, senin - ,selasa orngnya sekolah.. gk kasian apa sama tmn2 yg lain?'",Indonesia,
341,"RT @kyawoocute: @schfess Menurut aku nggak, semenjak ptm tugas hampir berkurang 50% nan menurut aku, kaloe pjj 100% tugas terus karena eman '",Indonesia,
342,"@schfess 50 50 si, ptm seru bgtt tp capeknya ituloh klo pjj capek bisa langsung tiduran'",Indonesia,
343,"@schfess sejujurnya ngga, tp kl msh 50% gini terus juga capek. kl gurunya bisa bagi diri secara adil bagi yg ptm ma https://t.co/I9OahIiO6p'",Indonesia,
344,"@schfess ptm 100% biar bisa deket sama semua tmn di kelas, kalo 50% kan di bagi 2 sesi jadii ga kenal aja gitu cang https://t.co/rzlXVRAh8q'",Indonesia,
345,@schfess PTM tapi tidak 100% maunya cuman 50% supaya lebih dekat dulu sama teman - teman baru yang ikut PTM',Indonesia,
346,"@schfess pengen ga pengen, gue maunya 50% kaya kemaren2. soalnya semenjak ptm 100% tugas kelompok gue makin ngadi2 https://t.co/q9yTFPNLkc'",Indonesia,
347,"@schfess 100% persen soalnya temen gua di sesi satu semua dan gua di sesi dua, terus klo ptm 50% kek gaenak jauh jauhan bener duduknya'",Indonesia,
348,@schfess buatku lebih enak 50% ptm',Indonesia,Positif
349,"@schfess Sama kayak sekolahku, walau masih ptm 50% ada yang positif. Malah sekolahku rencananya mau ptm 100% minggu depan'",Indonesia,
350,@schfess Ptm 50%  Gua ga sanggup kyknya kalo ptm 100%',Indonesia,Negatif
351,sedih bgt masa ptm nya 50% lagi :((((((',Indonesia,
352,@schfess Wkwkwkw gak sih pengen ptm 50% lagi aja',Indonesia,Positif
353,@schfess Ternyata ada untungnya juga ptm 50% tiap hari jadi ikut takut kalo ptm 100%',Indonesia,Positif
354,"@schfess 100% PTM, kalo 50% PTM tu penyampaian materinya ngga sama rata, ini dikelas gue sendiri aja udah ngerasain https://t.co/JBDKopzxxh'",Indonesia,
355,@schfess Enakan 100% jelass.. ptm 50% yang di rumah kaya orang dongo :)',Indonesia,
356,"@schfess gamau, maunya sih 50% aja soalnya lebih bisa fokus. Anak anak kls gua pas ptm 100% berisik banget sampe gu https://t.co/KLuePJhKYh'",Indonesia,
357,"Yashhhhh, mingdep PTM masih 50%, alhamdulillah  '",Indonesia,
358,@schfess Ga tapi pengen ptm nya 50% aja Jadi tetep ada 2 sesi engga di gabung 6',Indonesia,
359,bisa gasih ptm 50% ajhhhh',Indonesia,Positif
360,"@schfess Mungkin aku 50%, tugas ptm 100% ga ngotak parah'",Indonesia,
361,@schfess sama nder tp ak ptm nyamasih 50%',Indonesia,
362,"@schfess ptm 50%, krn g rame &amp; lebih mudah ngerti materinya'",Indonesia,
363,"@subschfess Udah pas semester 1 ptm 50%. Btw semangatt sender, semoga nilainya memuaskan'",Indonesia,
364,"@schfess Waktu ptm 50% sering deg degan tapi setelah ptm 100% jadi nggak, paling kadang males aja kalo ada mapel yg https://t.co/HglsmAqRNM'",Indonesia,
365,"@schfess sekolahku masih ptm 50%, itupun ga wajib.. boleh ptm boleh ngga, tapi byk yg milih gak ptm jadi yaagitu:"") takuutt banget sih...'",Indonesia,
366,berat badan gue biasanya tuh 49/50 dan sebenernya i felt very confident dengan b'segitu. badan gue bagus i know th https://t.co/4bACklR65m',Indonesia,
367,@SQOURG1FY sama bgtt beberapa sekolah nerapin 100% pasti ada aja yg kena dan kebijakan beberapa sekolah langsung pt https://t.co/FhBzN3Zsh',Indonesia,
368,Udah melakukan daring buat anak2 seminggu ini walau sekolah memaksakan PTM 100% (setelah sebelumnya komitmen sekola https://t.co/HFNlIyzDew',Indonesia,
369,@bingiung yadongg ptm masih 50% jadi lebih cpet pulangnya yhahhaa iri gk loe',Indonesia,
370,@tjapoenglaut @nadiemmakarim Anakku PTM baru 50% capt. Hari ini online dari rumah',Indonesia,
371,"@Benedictuswinn1 Menurut saya, jangan buru-buru hentikan ptm 100 persen. https://t.co/7xbRrZETf8'",Indonesia,
372,"@drpriono1 dgn makin melonjaknya kasus harian akibat varian Omicron, ditambah dgn subvarian baru ini, akan lbh baik https://t.co/px0MuvOMaG'",Indonesia,
373,"@tsetiady Ya itulah, selama status pandemi blm dicabut seharusnya sekolah PTM tetap 50%, kembalikan keputusan pd ma https://t.co/cDN0DLYAGP'",Indonesia,
374,@schfess ptm dan pjj wkwkwk alias ptmt 50% lagi',Indonesia,
375,"RT @kumparan: Jadi seingat saya ya kalau kasusnya naik, PPKM-nya naik, dia harus turun dari 100 ke 50 persen. Kalau dia naik lagi, turun l '",Indonesia,
376,"Kenapa beberapa daerah langsung berani PTM 100% dah, daerah gw masih 50% anjr'",Indonesia,
377,"@subschfess Sedih ga sih aku hampir 2 tahun SMA sekolah full siswa sama guru cuma sehari, itupun bersih-bersih kela https://t.co/hKO7tT8U4V'",Indonesia,
378,"pjj, ptm oke kalo 50% https://t.co/JjTNthcf0u'",Indonesia,
379,Jujur PJJ kurang efektif. PTM 50% aja meurutku efektif apalagi 100% https://t.co/0Zhq1J9i1Q',Indonesia,Positif
380,"Saran yg sangat baik dr Perhimpunan Pendidikan dan Guru (P2G), yg berada di ujung tombak pendidikan Semoga Gubern https://t.co/hR5I477QJR'",Indonesia,
381,"seharian ini isinya sambat mulu ttg tugas sekolah. tapi emang secapek itu. tadi pulang ptm jam 11.15, lanjut kerja https://t.co/rddeWWXRlX'",Indonesia,
382,"ahh shit binder catetan mtk gue ketinggalan di laci kelas, mana bsk pas ngga ke sekolah lagi gegara balik lagi ptm nya 50%'",Indonesia,
383,"@kompascom Hhmmm...\xf0\x9f\xa4\x94  Yth, Pak .@BudiGSadikin  .@KemenkesRI  Prof .@ProfesorZubairi  PTM siswa2 di Pekanbaru : SMP, https://t.co/TfUieA5VCl'",Indonesia,
384,"@Dokyeomiinee kayaknya ga otomatis diliburin dehh, tetep ptm 50% gitu :(( soalnya tempetku gituu :( stay safe ya waa!!!'",Indonesia,
385,"@dirgarambe No 2 susah dihindari Dok. Bekasi PTM 100%, dan masih WFO 50%.'",Indonesia,
386,RT @irasjafii: @PerkasaHabsyah Sebagai ibuk2 yg suka memantau kepatuhan prokes di sekolah  dan juga dulu aktif memantau kedisiplinan nakes ',Indonesia,
387,@PerkasaHabsyah Sebagai ibuk2 yg suka memantau kepatuhan prokes di sekolah  dan juga dulu aktif memantau kedisiplin https://t.co/IHyhDiXc3V',Indonesia,
388,"Tiga Siswa Terpapar Covid-19, PTM Turun 50 Persen https://t.co/6Odih700P8 via @radarjogja'",Indonesia,
389,stress ptm mau back 50%',Indonesia,Negatif
390,@convomf Jangan sampe minimal mah 50% PTM sisanya pjj jangan terus terusan pjj anjir',Indonesia,
391,@schfess gaada nder aku masih ptm 50%',Indonesia,Negatif
392,"Kasus Covid-19 Kembali Melonjak, Asosiasi Guru Desak PTM Cukup 50 Persen https://t.co/eHVk6x5VbV'",Indonesia,
393,@choisantay Iya aku juga denger antara ga ada PTM atau ga PTM 50%',Indonesia,
394,@mawardinurullah @ProfesorZubairi liat dulu dilapangan pelaksanaan aslinya kyk gmn.. tiap hari balik sklh ruwet kyk https://t.co/MGm30lBZUr',Indonesia,
395,@AmamiMichiChan @schfess sama banget udah PTM 100% sekarang PJJ dan PTM 50%',Indonesia,
396,sekolah rin balik ke 50% ptm gegara ada yg c word. trs hari ini rin milih buat ga masuk sekolah krn takut e',Indonesia,
397,"@subschfess Kami minggu lalu udh  Tapi gegara kabupaten kami level 2 Omicron , jadinya kami dibuat PTM 50%'",Indonesia,
398,"@schfess aku 50:50 sih. masing2 ada kurlebnya. pjj alu jenuh, tp enak jd lebih ga cape fisik. ptm asik ktmu tmn2, 'https://t.co/tCqWP8Jdt0'",Indonesia,
399,@schfess males ptm nderrr mending pjj dah :((',Indonesia,Negatif
400,@schfess PTM 50% nder. Kelas 10 sama 11 gantian masuknya per Minggu udah gitu dibagi dua sesi selang seling sehari https://t.co/yXhqxLI279',Indonesia,
401,jujurrr lebih suka ptm yang 50% tapiii temen gueee bedaa sesiii dan gue gapunya temen lg di sesi yg sama kaya gueee',Indonesia,
402,"sch! sender 50% pengen pjj, tapi 50% pengen ptm'",Indonesia,
403,  sekolah sender mau balik ptm 50% lagi huhu padahal udah enak full :(',Indonesia,Positif
404,"""Itu kami evaluasi. Ketentuannya kalau di level 3 baru 50%,"" katanya di Balai Kota DKI Jakarta, Rabu (26/1).  Sumbe https://t.co/13J1mpOBnm'",Indonesia,
405,@e100ss kenapa yg kuliah masih ptm terbatas 50/50 sedangkan tingkatan PAUD dan TK yg jelas ngatur diri nya sendiri https://t.co/UimAPz8MJo',Indonesia,
406,untuk anak-anak sekolah di Jakarta yg rada khawatir karena masih PTM full 100% (atau 50%) padahal kasus covid lagi https://t.co/zydX5a1IH6',Indonesia,
407,"50/50 deh, suka ptm karna ketemu crush, pjj karna seru di rumah belajar https://t.co/33pfri2TlZ'",Indonesia,
408,@aniesbaswedan assalamualaikum sehubungan dengan naik nya angka covid di DKI apakah masih layak PTMhttps://t.co/23bseWGB2f',Indonesia,
409,"@TirtoID Ngajar 50% gini sumpah capek banget. Wes mending 100%. Entah semua PJJ atau semua PTM, asal jangan separoh2'",Indonesia,
410,"@DKIJakarta Trus bagaimana dengan PTM..? kasus udh tambah begini ko PTM masih di lanjutkan..kasian lah anak"" sement https://t.co/SlC1GkLtvv'",Indonesia,
411,@newsplatter Kl ga distop..minimal jadi ptm 50% lah....',Indonesia,
412,besok gua ptm 50% lg anjir menggabut',Indonesia,Negatif
413,"Sch!  GUYSS doain daerah ku tetap safe yaa, biar sekolahku tetep jalann walau cuma 50% 50%, yg penting tetep PTM!!! https://t.co/sWyF9qjDUk'",Indonesia,
414,@schfess ptm tapi 100%  50% ga asikkk',Indonesia,Negatif
415,"Bekasi ketularan sih kayanya nanti.. br 2 minggu ptm, msh 50% pula, udh disuruh bdr lg aja krn ada guru yg positip https://t.co/nPgRm9LBHe'",Indonesia,
416,"""Ketentuannya kalau (PPKM) di level 3, baru PTM bisa kami turunkan jadi 50 persen,"" kata Riza.   https://t.co/ASf0Aga5hH'",Indonesia,
417,"@schfess PTM tapi 50% soalnya kalo 100% menurutku ga kondusif banget, kelasku tu bener-bener serame itu'",Indonesia,
418,"kalau ptm kmrn sih cepet gegara 1 matkul doang, trs yg dijadiin ptm cuma 2sks, 2sksnya lg yg sisa tetep daring  tp https://t.co/5s5XhofOOw'",Indonesia,
419,"@schfess pjj, kmrn ptm masih 50% masih enak, skrg 100% gaenak cape'",Indonesia,
420,"RT @ferdymad: @aik_arif PTM 50% jg menjadi resiko penyebaran Omicron.., dan anak2 kita yg terdampak'",Indonesia,
421,alias gue udah pewe banget sama ptm 50%',Indonesia,Positif
422,LAH katanya mau ptm 50% lagi awokwkwkkw ngabrut!! ngakak brutallll',Indonesia,
423,"@fulllsun0_0 yah, emang udah bener ptm 50% deh drpd 100% tp ujung ujungnya bakal pjj semua lagi'",Indonesia,
424,"@satorvx oiya gw soalnya lgi skolah onlen, ini klian udh ptm 100% atau ptm 50%?'",Indonesia,
425,"@asaM1CC Udh ptm, tapi baru 50% jdi kaya seminggu ptm seminggu pjj gituu'",Indonesia,
426,"@jihoonsay PJJ. Kalo PTM minusnya terlalu banyak tugas sampe kelimpungan, tapi plusnya jadi lebih rajin sih. Kalo P https://t.co/IBNDCl6s8k'",Indonesia,
427,"@kabjagiband kayaknya ga semua deh.. mungkin pas awal awal, terus ketika ada siswa yang kena c word jadi pjj lagi atau ptm 50%'",Indonesia,
428,"sch! Sekolah sender mulai bsk PTM nya 50% lagi, sedih bgt padahal lebih asik PTM '",Indonesia,Positif
429,"@schfess SEKOLAHKU MALAH PTM IH, asalnya 50 skrg jadi 100'",Indonesia,
430,ya allah baru sehari ptm 50% tau tau kakel gue positip 3 orang',Indonesia,
431,@schfess aku justru mau ptm terus aja tapi sekolahku masih ptm 50%. soalnya aku tipe yg bakal rajin kalo liat langs https://t.co/bxa8coDBED',Indonesia,
432,"@schfess masih pjj malah, ptm juga masih 50%, semoga jangan 100% dulu deh'",Indonesia,
433,jujur gue tambah stres ptm 50% ga jelas gini',Indonesia,Negatif
434,"@schfess baru jalan 2 hari sih, masih fine fine aja soalnya masih 4 jam an doang. tugasnya udah mulai ke tolong, ud https://t.co/Ej4kvNh6hE'",Indonesia,
435,@schfess Ptm 100% tp kalau keadaan g memungkinkan mending daring sekalian daripada 50% :(',Indonesia,
436,@schfess 50%.... jujur semisal sekolah aku udah ngadain ptm 100% aku takut banget.... mana protokol udah mulai kend https://t.co/uVKLWI6Ru1',Indonesia,
437,"Besok ptm 100%?? hadeh 50% aja aku dh tertekan, gimana kalo 100%'",Indonesia,Negatif
438,@schfess Kemarin dikabarin ptm 50% hari ini dikabarin pjj 100%',Indonesia,
439,sch! Sedih besok sekolah 50% lagi padahal udah seneng 100% ptm https://t.co/HMOkdajZbG',Indonesia,
440,"Daripada PJJ lagi mending PTM tapi 50% terus dikasih jeda setiap sesi 1 minggu, soalnya kalo balik PJJ 100% nilai g https://t.co/cyh38HJzO8'",Indonesia,
441,jgn ptm 50% dong aku gabetah dirumah',Indonesia,Positif
442,Vaksin dosis 2 harus tercapai sekitar 80% bagi guru dan tenaga pendidikan lainnya. Dan 50% bagi masyarakat lain.  J https://t.co/FcaBcO9Rbg',Indonesia,
443,"@stuwithdy wahh padet bangetaku yang baru ptm 50% aja udah capee huhu, semangat kamuu'",Indonesia,
444,"@ninoriano Gantian WFH seminggu sekali (50%). Eh, sekarang total karena suite sebelah ada yang positif... bocah jug https://t.co/u12WNTXuXx'",Indonesia,
445,kapan ptm 100% njirrrr?? udah agak ga tahan kalo 50% terus',Indonesia,Positif
446,"@subschfess kalo di sklh aku udh ptm full nder tapi buat yg kelas 12 doang, 10 sama 11 masih 50%'",Indonesia,
447,AHHH ANJJRRR MALES BANGET PTM 50%',Indonesia,Negatif
448,"@schfess kangen, TP ENAKAN PTM 50%'",Indonesia,
449,@sug4rxicetea sekolahku balik lagi ke ptm 50% kesel banget :(',Indonesia,
450,"JUJURLY GASIAP PTM 50% KRNNN GBS KETEMU ARIP, PPUPUTTTT AAAA AKU GABISA LENDOTAN KE PUPUT LAGI GABISA NGAKAK NGAKAK AMA ARIP LAGI'",Indonesia,
451,"@subschfess Lah kan udah pada di vaksin toh? Saran yg klise sih, tapi ya selama mereka taat prokes pasti aman2 aja. https://t.co/d97UE1f7Zt'",Indonesia,
452,Sekolah gw mau balik ke ptm 50% lagi,Indonesia,
453,"mending ptm please... aku ptm baru 50% sih di sekolah, tapi asli jangan sampe online lagi semangat belajar aku 'https://t.co/Wp90GDWrfK'",Indonesia,
454,yah mau 50% ptm lagi :(  padahal udah nyaman 100% ptm hufftt',Indonesia,Positif
455,mana ini kan msih ptm 50% :D PULANGNYA PADA JAM 1 LAGI AH ELAH',Indonesia,
456,"ga berharap pjj, tapi ptm 50% lagi bisa g siex https://t.co/MATsfcWXjZ'",Indonesia,
457,Mohon kembalikan PTM 50%',Indonesia,
458,"@loveliuest Samaa, sekolahku juga masih 50% ptm nya'",Indonesia,
459,"@kilangambis 50/50 sih kalo akuu udah nyaman pjj , cuma materi lebih ngerti kalo ptm  kl km gimanaa kil?'",Indonesia,
460,@convomf aku malah pengen ptm 100% soalnya bestie ku di sesi 1 :( aku ptm 50% malah diem dieman',Indonesia,
461,"  pengen ptm 50% lagi pls, kelas brisik banget'",Indonesia,
462,"@snwkasep bener juga, tapi kalo ptm 50% bisa lah ya'",Indonesia,
463,"@schfess jujur kalo pjj 100% bakal enak si, teratur gt loh. soalnya di sekolahku masih 50% pjj 50% ptm. kadang ada https://t.co/RO1KTdymeX'",Indonesia,
464,@schfess 50% cocok banget buat aku yang dikit dikit rasanya mau bolos. tapi 50% malah bikin aku tambah capek soalny https://t.co/iXOIKX9y0t',Indonesia,
465,"sumpah kalo ptm gua bangunnya jam 4.50 :"") untung pjj'",Indonesia,
466,pls ptm 50% lagi',Indonesia,
467,@alsunsky Iya T_T padahal baru ptm 50% 2 minggu rasanya capek banget',Indonesia,
468,"@subschfess skola sy dah ad yg kena, minggu kmrn dah pjj, minggu ini ptm jd 50% lagi ga 100% sampe seterusnya :""('",Indonesia,
469,"@subschfess Ga suka pjj, tapi suka ptm 50% aja",Indonesia,
470,RT @fireworkID: @mediaindonesia @chairulachir PTM 100% itu cara lama. Harusnya 50-50. Sekolah dan walimurid harus adaptasi betul bahwa 50-5 ',Indonesia,
471,"@LetsPlayBallNCT Anj, sabtu diumumin ptm 100% minggunya langsung ganti 50% cuk sekolah gw, gegara kasus koped naik lagi sial'",Indonesia,
472,"@convomfs Sekolah gue kaga ptm 100% si, jadi selang seling luring daring gitu. Cuma sekolah temen gue ada yg kaya g https://t.co/D0bg9aeD7J'",Indonesia,
