,tweet,clean_text
257,"@subschfess engga sih, soalnya emang pengen ptm terus hehe",soalnya emang pengen ptm hehe
258,"@schfess buat sebulan kedepan belum ada ketentuan, tapi untuk 2 minggu ini ptm 100% full. aku dom jakbar",buat sebulan belum ada ketentuan ptm full aku dom jakbar
259,sing kudune ptm ki mahasiswa. nggilani tenan sarjana ilmune ngawang awang.,uda ptm lagi huf
260,uda ga ptm lagi huf,sudah ptm lagi huhf
261,"@convomfs masii ptm, tpi bau""nyaa si mau pjj",ptm tpi baunya mau pjj
262,PTM diberlakukan 50 persen. Artinya siswa dibagi dua shift dalam pelaksanaan PTM. #publisherstory https://t.co/g8Ne20FMbE,ptm diberlakukan persen artinya siswa dibagi dua shift dalam pelaksanaan ptm
263,PTM TP GABUT,ptm gabut
264,"@subschfess gaaa, ak maunya ptm trusðŸ˜”ðŸ˜”",aku maunya ptm
265,"barusan di wa adek yg masih SMP.
udah pada happy 2 bulanan ini PTM 100%, ketemu temen sekolah tiap hari meskipun durasi sekolah cuma 2 jam an.
ehh sekarang harus daring lagi ðŸ¥²
di sekolah mana gitu ada yg positif 39 murid. https://t.co/2owjFeO0fO",barusan adek smp udah happy ptm ketemu temen sekolah meskipun durasi sekolah jam eh harus lagi sekolah ada positif murid
266,"ok gapapa ptm 50 50 asal ptm, encok gue daring",ok ptm asal ptm encok gue daring
267,"@useraksel aku ptm 50%, di bagi sesi dan aku ga se sesi sama temen deket aku. aku sesi 1 di sesi 1 kebanyakan cowok gitu, aku cuma takut gabisa belajar fokus sama takut ga nyaman ðŸ¥º awalnya aku mau coba tanya ke guru kelas boleh ga aku di sesi 2, eh ga bolehhh jadi nya aku bm ðŸ˜­ðŸ˜­ðŸ˜©",aku ptm bagi sesi aku se sesi sama temen deket aku aku sesi sesi kebanyakan cowok aku cuma takut gabisa belajar fokus sama takut nyaman awalnya aku mau coba tanya guru kelas boleh aku sesi eh boleh jadi aku badmood
268,"PTM tetap berjalan dengan memerhatikan dinamika penyebaran covid-19 varian omicron serta mencermati masukan dari berbagai pihak
#BersatuDukungPemulihanRI https://t.co/5DZJ6kBMJk",ptm tetap berjalan memerhatikan dinamika penyebaran covid varian omicron serta mencermati masukan dari berbagai pihak
269,@bIuebbIe iyaaaðŸ’”padahal pgn bgt ptm tapi malah ga jadi gara2 kasus nya naik lagiiðŸ˜”,iyaa pengen banget ptm malah jadi gegara kasus naik lagi
270,@cloupssy @kqonto murid ptm koncol,murid ptm kontol
271,materi yg di sampaikan tuh gampang ngerti klo ptm,materi sampaikan gampang ngerti kalau ptm
272,JGN PJJ PLS GUE SUKA PTM SOALNYA ADA WIFI GRATIS. UANG SAKU JG GA DI POTONG ðŸ˜¿,jangan pjj pls gue suka ptm soalnya ada wifi gratis uang saku potong
273,"@watashiure cape tugas ga sih, kalo ptm cape fisik ðŸ˜”",cape tugas kalau ptm cape fisik
274,tbh enak ptm dari pada pjj,to be honest enak ptm dari pjj
275,"Njir, bener bener dah ðŸ˜‚ https://t.co/r3Ya8NwvsK",njir bener bener dah
276,@plvtornn semangat ptm nyaaa,semangat ptm
277," @ftrrii1 @Moonboy020290 Yg kocak, pas PSBB diumumin pemerintah pada ngamuk, nah org yg sm lewat di teel gw, ngamuk lg ke pemerintah krn ga setuju pakgub mo berhentiin PTM ",kocak psbb diumumin pemerintah ngamuk sama lewat teel gue ngamuk lagi pemerintah karena setuju gub mau berhentiin ptm
278,"@subschfess engga, pas pjj ga pengen ptm",pjj pengen ptm
279,"@pacarnyaminhi aaa gitu, yaampun pdhl kmrn udh enak2 ya ptm mau 100% skrg malah ada bdr lagi:(",aaa yaampun kemarin sudah enak ptm mau sekarqng malah ada belajar dari rumah lagi
280,"@ClarissaLyi @orgcakepni @schfess bnr bangettt sekolah gue termasuk ketat bgt, sakit ringan sebatas batuk aja bnr2 gblh masuk. kmrn udh bersyukur bgt nilaiku bnyk naik ilmu nambah krna ptm, tbh ak males bgt dirumah mknya enak sekolah aja :(",benar bangett sekolah gue termasuk ketat banget sakit ringan sebatas batuk aja benar gaboleh masuk kemarin udah bersyukur banget nilaiku ilmu nambah karna ptm to be honest aku males banget rumah enak sekolah aja
281,"masalahnya upraknya gadir, klo ttp ptm tugasnya juga seabrek, GAPAPA KOK GAPAPA ALIAS EMOSIII, klo mau ptm kls 10 11 aja dluuu yg kls 12 pjj seminggu buat uprakk",masalahnya ujian prakteknya gadir kalau tetap ptm tugasnya seabrek alias emosi kalau mau ptm kelas aja kelas pjj buat ujian praktek
282,@GATRA_com Ya ngapain kirim surat ke pusat ... tinggal kepala daerahnya pak @IdrisAShomad buat keputusan diberhentikan sementara PTM atau bikin kebijakan PTM 50% misalnya ... kan harusnya kepala daerah bisa mikir bukan lempar tangan ke pusat,ngapain kirim surat pusat tinggal kepala daerahnya buat keputusan diberhentikan sementara ptm kebijakan ptm misalnya kepala daerah mikir bukan lempar tangan pusat
283,@convomfs lebih ngerti pas ptm but pjj pas ulangan aja wkwkwk,lebih ngerti ptm pjj ulangan aja wkwk
284,"Gak apa-apa, deh. Semoga virusnya cepat berkurang dan bisa balik PTM lagi.",deh semoga virusnya cepat berkurang balik ptm lagi
285,"@convomfs ptm kalo materi ulangan, pts pjj",ptm kalau materi ulangan pts pjj
286,"@convomfs pengennya, PTM. tapi uprak nanti daring aja gapapa HAHAHAHA",pengennya ptm ujian praktek nanti daring aja hahaha
287,"ini sekolah udh gilaa apaa gimana sihh, uprak daring bikin vidio tpi ttp ptm tuuu gimana yaaaa, uprak sambil belajar gtuu? plsss laaa trs kapan waktunya buat bikin vidio uprakkkkkkk absidndjdjufbc",sekolah sudah gila ujian praktek daring vidio tetap ptm yaa ujian praktek sambil belajar pls waktunya buat vidio
288,"Walaupun aku pusing karena sekolah (PTM), tapi kalau gak ketemu teman rasanya ada yang kurang.. u___u",walaupun aku pusing karena sekolah ptm kalau ketemu teman rasanya ada kurang
289,@jev_anna Ptm blm punya temen jadi daring aja deh heheh,anna ptm belum punya temen jadi daring aja deh hehe
290,sriusan ini memding ptm aja anjig,serius mending ptm aja anjing
291,@jev_anna Ptm lebh enak si,ptm lebih enak
292,Kok sekolah gue ga pjj lagi si plis males banget ptm,sekolah gue pjj lagi plis males banget ptm
293,"@convomfs harusnya masih ptm buat hari ini, tapi dipulangin soalnya anak kelas sebelah ada yang positif, jadi pjj deh",ptm buat dipulangin soalnya anak kelas sebelah ada positif jadi pjj deh
294,"@convomfs yaallah ptm aja baru mulai tgl 14, masa mo ganti daring lagiðŸ˜­ gw belum ngerasain woee",yaallah ptm aja mulai tanggal mau ganti daring lagi gue belum ngerasain woe
295,@dalgmcnuggets yahh ak ptm ðŸ˜­,yahhh aku ptm
296,gue mending pjj sih daripada PTM persesi ðŸ˜­âœ¨,gue mending pjj ptm sesi
297,"AKU SEKARANG TIM PTM, KALO PJJ GA SESESI SM AYANG https://t.co/VoZAeeCnuw",aku sekarang tim ptm kalau pjj sesesi sama sayang
298,Tapi kalau tetap PTM virusnya bertambah lagi.,kalau tetap ptm virusnya bertambah lagi
299,@convomfs tim setengah setengah sih. kalo ptm terus agak jskskzjjss gitu,tim setengah setengah kalau ptm agak jskskzjjss
300,@convomfs ptm dihati,ptm dihati
301,Yahhh sedih sekolah gue besok udah mulai ptm 50% :(,yahhh sedih sekolah gue besok sudah ptm
302,@convomfs tetep ptm,tetap ptm
303,@ALDRLDXVR Semangat ptm,semangat ptm
304,"gurunya ga niat ngajar?2x pertemuan ga masuk,,udah ditelfon walas gua anjr mana ga bilang,mksdnya aja gtu pdhal klo ptm masuk muluuu",gurunya niat ngajar pertemuan masuk sudah ditelfon walas gua anjir aja kalau ptm masuk mulu
305,"emang kudu diberentiin dulu PTM selama 3-4 minggu. buat apaan? yaa kalo kasus meledak di usia usia sekolah tu, perlu fasilitas khusus kalo ada case terburuk sampe perlu rs. udah gitu pasti persiapannya dikit dan ga banyak yang punya tu fasilitas. tapi kita ikutin aja lord luhutðŸ™ðŸ»",emang kudu diberentiin ptm selama buat yaa kalau kasus meledak usia usia sekolah perlu fasilitas khusus kalau ada case terburuk sampsai perlu rs sudah pasti persiapannya dikit banyak punya fasilitas ikutin aja lord luhut
306,@schfess Awalnya pas masih PJJ ga akrab samsek dan kek gamau kenal sama temen2 sekelas. Eh pas udah PTM lama2 jadi asik,awalnya pjj akrab sama sekali kayak gamau kenal sama temen sekelas eh sudah ptm lama jadi asik
307,"@sssashaaa01 samaa, padahal udh nyaman ptm",sama sudah nyaman ptm
308,@subschfess Ngga. Aku ttp pengen pjj. Ptm ngeri sama sirkel nya. Gue yg anak bawang cuma bisa diem@pokokan,aku tetap pengen pjj ptm ngeri sama sirkel gue anak bawang cuma diem
309,Beruntung we can say good bye to each other... Walaupun capek ptm tapi tep aja bakal kangen. Tapi seru juga ptm:( bitj daring gua ga ngerti apa apa lagi,beruntung say good bye walaupun capek ptm tetap aja bakal kangen seru ptm bitj daring gua ngerti lagi
310,"@subschfess kalo ptm pengen pjj, kalo pjj pengen duit sih aku mah",kalau ptm pengen pjj kalau pjj pengen duit aku mah
311,@jev_anna ptm lebih enak tp skrng daring lagi,anna ptm lebih enak sekarang daring lagi
312,@honeytoodle enakan ptm yh?,enakan ptm
313,@detikcom Sibuk..minta izin PTM malah safari.... promo hanya ingin dengar suara calon presiden.. aseeex,sibuk minta izin ptm malah safari promo dengar suara calon presiden asik
314,when yang lain PTM tapi gua sakit di rumah ðŸ‘ https://t.co/yfVLQf6wPz,lain ptm gua sakit rumah
315,ok sekolah gw balik ke PTM terbatas lagi,ok sekolah gue balik ptm terbatas lagi
316,"Pantesan kemarin usulan PTM anak sekolah ditolak, rupanya krn udah kadung punya rencana iniðŸ¤” https://t.co/hHtZqxKn1g",pantesan kemarin usulan ptm anak sekolah ditolak rupanya karena sudah kadung punya rencana
317,"@henderrryy GW JG AD UL ANJ gamau ptm dl, gile ajaa covidnya lg drastis naikðŸ˜­",gue ada anjing gamau ptm gila aja covid lagi drastis naik
318,Btw di balam udahh pada daringg karna siswanya banyak yang kena Semoga lambarr tetep ptm,by the way balam udahh daringg karena siswanya banyak kena semoga lambarr tetap ptm
319,RT @iloyojiel: anjg ptm 50% lagi,anjing ptm lagi
320,"@subschfess Aku juga gitu nder tapi mencoba berpikir lebih jernih, kalo PJJ kebanyakan main lah males lah offcam lah udah gitu ga 100% merhatiin tapi kalo PTM itu asik sih walaupun sepi kelasnya, rasanya kaya bimbel terus jg lebih fokus ditambah pasti ada catatan mapel gt kalo PTM",aku nder mencoba berpikir lebih jernih kalau pjj kebanyakan main males offcam sudah merhatiin kalau ptm asik walaupun sepi kelasnya rasanya kaya bimbingan belajar lebih fokus ditambah pasti ada catatan mata pelajaran kalau ptm
321,@henderrryy Lagi PJJ katanya PTM Senin tapi gatau di perpanjang lg apa gðŸ™,lagi pjj katanya ptm gatau perpanjang lagi
322,@CNNIndonesia AB ini salah strategi terus. Tapi dia pintar mengubah ini jd panggung politik. Aslinya ga perlu minta persetujuan krn kewenangan di Daerah buat ngurangin PTM (misal jadi 50-30%). Kalo stop 100% mungkin blm bisa. Nah dia maunya 100% tanpa PTM dan minta perstujuan LBP. Jelas ngaco.,ab salah strategi pintar mengubah jadi panggung politik aslinya perlu minta persetujuan karena kewenangan daerah buat ngurangin ptm misal jadi kalau stop mungkin belum maunya ptm minta perstujuan lbp jelas ngaco
323," @Dj_Bams74 Itu dia penting nya cari jalan keluar biar tidak merugikan Dikanal berita itu sudah bagus idenya PTM 50% pun dengan tempat usaha harus dibatasi juga Kita tempat usaha masih langgar prokes loh ðŸ˜‚  dibatasi 50% ternyata tanpa kita sadari kita melebih aturan",penting cari jalan keluar biar merugikan dikanal berita sudah bagus idenya ptm tempat usaha dibatasi tempat usaha langgar prokes dibatasi ternyata sadari melebih aturan
324,"matpel nya ga sesuai jadwal ptm bngst, jadi ngacak",mata pelajaran sesuai jadwal ptm bangsat jadi ngacak
325,"gua mau nangisssss, males ngapa ngapain karna mendengar berita ptm 50% udah mana gt ulangan diundur muluuu gua sedih bgttt",gua mau nangis males karena mendengar berita ptm  sudah mana ulangan diundur melulu gua sedih bangett
326,"@missufe Morningg makji, sedih bnget aku hari ini krna udh ga PTM lagi",morning makji sedih banget aku karena sudah ptm lagi
327,@Kdillust1218 Nda :(( gak tau sekolahku masih ptm ini,ndak tau sekolahku ptm
328,ptm soalnya kelas gw lebih enak daripada kamar gwðŸ˜“ðŸ˜“ https://t.co/neA9EeeiTj,ptm soalnya kelas gue lebih enak kamar gue
329,ptm setopp aja plis beresiko bangett,ptm stop aja plis beresiko bangett
330,"jangan lupa sarapan dan mandi pagi kalian.. semangat buat yg pjj/ptm, yg kuliah dan yg kerja!! âœ¨â¤ï¸",jangan lupa sarapan mandi pagi kalian semangat buat pjj ptm kuliah kerja
331,@sukasusumilku Mangaatss nder semoga cpt balik PTM lagiu,semangat nder semoga cepat balik ptm lagi
332,@taetaejungo semenjak ptm gue udh ga begadang,semenjak ptm gue sudah begadang
333,@codesbans PJJ SJDBDJEJDIFJ sgt menyedihkan. km hri ini pjj apa ptm,pjj sjdbdjejdifj sangat menyedihkan pjj ptm
334,"gue udah 3 hari mulai ptm dan keinget gapernah ketemu crush gue padahal satu sekolah, kan gue juga pengen ketemu krass",gue sudah mulai ptm keinget gapernah ketemu crush gue sekolah gue pengen ketemu krass
335,@Biruuu274 Semangat ya nder semoga cpt balik PTM lagii,semangat nder semoga cepat balik ptm lagi
336,"@fadlizon Susah memahami jalan pikirannya. Memprediksi puncak wabah Covid-19 / Omicron bulan Februari, tetapi penerbangan internasional dibuka, keramaian dimall terjadi, tingkat hunian RS terjadi. PTM jalan terus ?",susah memahami jalan pikirannya memprediksi puncak wabah covid omicron februari penerbangan internasional dibuka keramaian mall terjadi tingkat hunian rs terjadi ptm jalan
337,"@rosie_ark OH MKSDNYA KU SUKA PTM, SKRG MAH AK PJJðŸ˜”",oh maksudnya suka ptm sekarang mah aku pjj
338,Sedih bgttttt PTM terbatas lagi ðŸ˜­,sedih bangett ptm terbatas lagi
339,WHWHAHAH YG LAIN PTM GW MALAH ONLINE LAGI https://t.co/nwXv58Wzsz,hahaha lain ptm gue malah online lagi
340,"buat yg mikir buat ptm, mending jangan dulu deh. covid lgi serem bgt, sekola gua lockdown krn banyak yg positif, sekitar 10 an. keluarga gua juga kena, stay safe and healthy yaa sering sering vitamin ama makan yg sehat2, klo dingin dingin coba tunda dulu deh, klo sakit jgn panik",buat mikir buat ptm mending jangan deh covid lagi serem banget sekolah gua lockdown karena banyak positif sekitar keluarga gua kena stay safe healthy yaa sering sering vitamin sama makan sehat kalau dingin dingin coba tunda deh kalau sakit jangan panik
341,"RT @schfess: sch! meski skrg lagi pjj, but i love ptm so much &lt;3 https://t.co/tlO0BPUtLq",sch meski sekarang lagi pjj love ptm much
342,"@schfess ptm setengah aja dah, mau lulus bentar lagi soalnya",ptm setengah aja dah mau lulus bentar lagi soalnya
343,"@jjnjaem aamiinn aamiin, males pjj mau ptm lagi aja ðŸ˜”ðŸ˜­",amin amin males pjj mau ptm lagi aja
344,WALAUPUNNNN pjj enak siee dirumah gt ga hrsss pake seragamm ga ribet deh TAPI PTM JUGA SERUUUUUU bangettttt,walau pjj enak rumah pakai seragam ribet deh ptm seru bangett
345,@jyuhaney yahhðŸ¥º semangat PTM nya yaâœŠðŸ»,yahhh semangat ptm ya
346,gue kalo abis pjj lama terus masuk ptm lagi suka jadi males anjir,gue kalau abis pjj lama masuk ptm lagi suka jadi males anjir
347,ptm minggu ini gue cuma berangkat sekali awoakwokðŸ§ðŸ»â€â™€ï¸ðŸ§ðŸ»â€â™€ï¸,ptm gue cuma berangkat sekali wkwk
348,"@convomf ptm enakk, bisa lebih akrab sama temen sekelas, trus ketawaÂ² bareng temen sekelas. Walaupun PJJ bisa sambil rebahan, tapi susah buat mengerti materi, jd ofc enak PTM",ptm enak lebih akrab sama temen sekelas ketawa bareng temen sekelas walaupun pjj sambil rebahan susah buat mengerti materi jadi ofc enak ptm
349,"@dr_koko28 Disini nakes teriak2 covid naik, disisi lain PTM anak sekolah batal, disisi lain lg Mall, Tempat Kuliner, tempat hiburan, Pasar RAME. trus mau mu apa toh leee  ? ðŸ˜…ðŸ˜…ðŸ˜…",tenaga kesehatan teriak covid disisi ptm anak sekolah batal disisi lagi mall tempat kuliner hiburan pasar rame lalu mau hehe
350,"gue gak ngebayangin ptm 50%
SOAL NYA ABSEN GUE JD GENAP AAAAAAA ANJGGG",gue ngebayangin ptm soal absen gue jadi genap aaaaaaa anjing
351,@hitudt kok keren masih ptm,keren ptm
352,"@lljn00 masih ptm sih, tapi dengerÂ² katanya mau pjj lagi, tapi aku lebih suka pjj sih",ptm denger katanya mau pjj lagi aku lebih suka pjj
353,@schfess masih tpi gatau dah bsk kelanjutannya bsk masih ptm apa kagak,gatau dah besok kelanjutannya besok ptm
354,"@subschfess pjj, soalnya kalo pjj tuh kaya fleksibel aja gitu waktunya. kalo ptm capek bgt asli bner bner gk kuatâœ‹ðŸ»ðŸ˜”",pjj soalnya kalau pjj kaya fleksibel aja waktunya kalau ptm capek banget asli bener bener kuat
355,@fadlizon Anak sy kelas 3 SMA tahun ini di keluarkan oleh pihak sekolah karena memilih tidak mengikuti PTM .,anak saya kelas sma keluarkan oleh pihak sekolah karena memilih mengikuti ptm
356,"@subschfess tim ptm, soalnya kl pjj kaya libur trs gurunya kl pjj suka ga kasih materi tar tiba"" uh kan sebel ðŸ™‚",tim ptm soalnya kalau pjj kaya libur gurunya kalau pjj suka kasih materi bentar tiba uh sebel
357,Kok gua masih ptm aja ya,gua ptm aja ya
358,@svnghoen ptm seru bisa bareng temennn pjj tugasnya makin bnykðŸ˜©ðŸ˜©ðŸ˜©,ptm seru bareng temen pjj tugasnya makin banyak
359,"buat yang ptm, semangat ya",buat ptm semangat ya
360,@lovebysunoo terlanjur nyaman ptm meskipun pulang pulang encok,terlanjur nyaman ptm meskipun pulang pulang encok
361,@aik_arif Dah ada pilihan buat ortu utk PTM atau PJJ. https://t.co/p7aSBzXpKz,dah ada pilihan buat tua ptm pjj
362,yahhh masa nanti ptm nya 50% lgðŸ˜”,yahhh masa nanti ptm lagi
363,"Pls PTM 50% jgn sampe pake absen ganjil genap, mending 1-18 aja shshsjdjd",pls ptm jangan sampai pakai absen ganjil genap mending aja shshsjdjd
364,Ya allah ga mau ptm,ya allah mau ptm
365,beneran ptm 50%,beneran ptm
366,"@tjapoenglaut @Kemdikbud_RI @nadiemmakarim Bukannya siswa diijinkan memilih ptm atau online Mas ?
Atas ijin orangtuanya",bukannya siswa diijinkan memilih ptm online mas atas ijin tuanya
367,"@otnayramitsme Di beberapa sudah ngga ptm lg, tp ditempatku masih ptm bang. Apalagi anak SD buset jajan berkerumun :((",sudah ptm lagi ditempatku ptm bang anak sd buset jajan berkerumun
368,"@Iwannawin0 Semangaatt nderr, semoga cpt balik PTM lagii",semangat nder semoga cepat balik ptm lagi
369,"jusat aneh banget, kenapa yg ptm tuh gak anak kelas 12 aja soalnya mereka sibuk",aneh banget ptm anak kelas aja soalnya sibuk
370,"@zpaduka pjj niss, gajadi ptm gegara c word lagi naikðŸ˜­ðŸ˜­ðŸ˜­ðŸ’”",pjj niss gajadi ptm gegara word lagi naik
371,anjinglah masa udah ptm 100% masih dikasih tugas di gcr,anjing masa sudah ptm dikasih tugas gcr
372,"@zarazettirazr Katanya tak begejala/bergejala ringan, trus PTM di DKI tetap dilanjutkan, trus kalo ngerasa sakit segera PCR, nah siapa yg diuntungkan dari situasi seperti itu?  ..",katanya tak begejala bergejala ringan ptm dki tetap dilanjutkan kalau ngerasa sakit segera pcr diuntungkan dari situasi seperti
373,"@nanamibbygurl Pagi, enak banget yang ptm",pagi enak banget ptm
374,"@Catatan_ali7 td udah sy contohkan kalo ptm ditutup masihlah bs org cari uang tp kl cafe yg ditutup kan gk ada omset dia, trus karyawannya gk kerja dan pajak pun pasti berhenti, itu mungkin yg terjadi menurut saya lho ya dan salah satu contoh pertimbangannya, mungkin kl mau jelas tanya pak Gub",sudah saya contohkan kalau ptm ditutup cari uang kalau cafe ditutup ada omset karyawannya kerja pajak pasti berhenti mungkin terjadi menurut saya lho salah contoh pertimbangannya mungkin kalau mau jelas tanya gub
375,@mattchafrrape Iyaa dia mager ptm karena nggak punya temen wkwk,iyaa mager ptm karena punya temen wkwk
376,pgn cepet cepet ptm à²¥_à²¥,pengen cepet cepet ptm
377,"Kampus aing gk jadi ptm tapi bulan feb aja, sekalian online aja krn disini juga kasus lagi naik. Sekolah SMA aing udh kena :"")",kampus aing jadi ptm feb aja sekalian online aja karena kasus lagi naik sekolah sma aing sudah kena
378,"@yuwantino12 @CahTalang2 @bisnis_h @CNNIndonesia @LuhutBinsarFans yaudah kalo ptm 100% masih jalan sekalian cabut status pendemi, biarin rakyat hidup bebas .. ini malah gak jelas bulan desember brita covid terkendali ehh skrng naik lagi .. covid covid tai kucing !!",yaudah kalau ptm jalan sekalian cabut status pendemi biarin rakyat hidup bebas malah jelas desember berita covid terkendali ehh sekarang naik lagi covid covid tai kucing
379,"AAAAA TIDAKKK, PTM NYA 50% LAGIII",aaaaa ptm lagi
380,"RT @Catatan_ali7: @Dj_Bams74 Kalau pertimbanganya sektor ekonomi

Ya pendidikan juga ada pertimbangan nya seperti yg ditulis dalam berita tâ€¦",kalau pertimbangnya sektor ekonomi pendidikan ada pertimbangan seperti ditulis dalam berita
381,"PTM boleh, mudik ngga boleh. Awas aja lu yak ðŸ¥º",ptm boleh mudik boleh awas aja yaa
382,IYA duh takut bgt mana senin mau ptm ðŸ˜­ðŸ˜­ smoga pjj dulu ajadeh ngeri https://t.co/f6VRMWi6kQ,iya duh takut banget mau ptm semoga pjj aja deh ngeri
383,@heavensbeeeee @schfess BARU SADAR KOK PJJ SIH GOBLOK HARUSNYA PTM,sadar pjj goblok ptm
384,udah bener ptm malah daring lagi ngentot,sudah bener ptm malah daring lagi ngentot
385,"Gak PTM, gak PJJ, pasangan ini selalu lucu. WKWKKW. WOKWOKWOKWOK",ptm pjj pasangan selalu lucu wkwk wkwk
386,Mari berdoa biar hari ini ngga hujanðŸ¤² hari ini ptm ke rumah siswa yg jaraknya 17kmðŸ™‚ ngajar sekalian touringðŸ˜…,mari berdoa biar hujan ptm rumah siswa jaraknya km ngajar sekalian touring
387,udah seneng2 ptm 100% eh pjj,sudah seneng ptm eh pjj
388,elah LU GAUSAH PAMER KALO LAGI PTM,yaelah gausah pamer kalau lagi ptm
389,"gatau kenapa ptm sama pjj sama, samaâ€™ bisa nyontek kalau ulangan",gatau ptm sama pjj sama sama nyontek kalau ulangan
390,"@ProfesorZubairi Itu yang kumpul2 nonton barongsai juga, knapa cuma ptm doang?",kumpul nonton barongsai cuma ptm doang
391,"@schfess Tapi sekolah gweh di kediri dah daring, tapi kalo di nganjuk masi ptm terussðŸ˜‹ðŸ¤™ðŸ¤™",sekolah gue kediri dah daring kalau nganjuk ptm
392,"@seokjyniee ptm, ihh enak bangett",ptm ihh enak bangett
393,ni kalian jd pjj smpe seterusnya kah? knp gw cuma harini aja ya pjj senen balik ptm,kalian jadi pjj sampai seterusnya gue cuma aja pjj balik ptm
394,"@yonk_lucu Aminn bgt kalo pjj ini mah, serem bgt kalo liat tl tu banyak yg + pas ptmðŸ˜©",amin banget kalau pjj mah serem banget kalau liat banyak ptm
395,@pacarjaembul semangat ptm nya!!,semangat ptm
396,"@aishairwn Gk bget dah, udh enakan ptmðŸ˜”â˜",banget dah sudah enakan ptm
397,yuk ptm lagii,yuk ptm lagi
398,@schfess Barusan aku jemput sepupuku yg gajadi ptm karena di sebelah sekolahnya ada yg positip wkwk,barusan aku jemput sepupuku gajadi ptm karena sebelah sekolahnya ada positip wkwk
399,@ltydrugs @lljn00 kamu udah pjj lagi? doain semoga nular pjj nya aku ga suka ptm temenÂ² kelas ku kayak setan,sudah pjj lagi doain semoga menular pjj aku suka ptm temen kelas kayak setan
400,"RT @samsularifinnnn: Bagi perusahaan yg menerapkan test &amp; tracing dgn  baik.. disaat prokes yg kendoorrrr, PTM 100% ini sgt2 mempengaruhi pâ€¦",bagi perusahaan menerapkan test tracing baik prokes kendor ptm sangat mempengaruhi
401,@elljjhvlas ckckck saya loh ptm ini mau berangkat kasian yang sekolahnya di rumah,ckckck saya ptm mau berangkat kasian sekolahnya rumah
402,"RT @ItsMe_RBH: Jika demi kesehatan dan keselamatan anak-anak di DKI, abaikan saja penolakan itu Pak @aniesbaswedan.! Jalankan PJJ sepertiâ€¦",jika kesehatan keselamatan anak anak dki abaikan saja penolakan jalankan pjj seperti
403,cian bgt yg daring lg :( alhamdulillah aku msh ptm hihi,kasian banget daring lagi alhamdulillah aku ptm hihi
404,iri iri iri sama yang masih ptm,iri iri iri sama ptm
405,Udah nyaman PTM eh daring lagi,sudah nyaman ptm eh daring lagi
406,gila kasus harian cvd naik bgt... minggu depan uda ptm k4mpusðŸ˜­ðŸ˜­ðŸ˜­ duh muk tenggelam ajjjj https://t.co/zjD9OpFQML,gilaa kasus covid banget sudah ptm mampus aduh muka tenggelam aja
407,"@schfess Sorry but gue lebi suka ptm, gpp de hybrid yg penting ptm, bcs mk gue 90% praktek ðŸ˜˜ðŸ˜˜ðŸ˜˜",sorry gue lebih suka ptm deh hybrid penting ptm mata kuliah gue praktek
408,"@AoiLunatic88 bocahnya? atau kita?
Kita kan tim PTM selalu meski banjir bandang menyerang, meski panas tinggi juga mah",bocah tim ptm banjir bandang menyerang panas tinggi mah
409,udh gadapet ijin ptm tp sekolah tetap ptm ðŸ˜€ðŸ˜€ðŸ˜€,sudah gadapat ijin ptm sekolah tetap ptm
410,"@uchynagaeri enggak, aku malah masih PTM 100%. emang kenapa kok pjj lagi kamu?",aku malah ptm emang pjj lagi
411,SEKOLAH GW MASI PTM ANJJJ LAGI NAIK KOK NEKAT BANGET SIH SEKUL GW https://t.co/ASwlXDxmbH,sekolah gue ptm anjing lagi nekat banget sekolah gue
412,@hnurwahid @aniesbaswedan Kalau benar omicron SANGAT BDRBAHAYA dan ada yang ditolak permohonan penghentian PTM nya.. maka yang menolak telah melakukan perencanaan pembunuhan kepada anak sekolah dan para pendidiknya. Kira2 begitu pendapat saya,kalau benar omicron sangat berbahaya ada ditolak permohonan penghentian ptm maka menolak telah melakukan perencanaan pembunuhan kepada anak sekolah para pendidiknya kira begitu pendapat saya
413,minggu depan sekolah ku ptm 50% yess,sekolah ptm yes
414,"@subschfess Ptm, gue selalu kehilangan semangat belajar kalo pjj, kalo di sekolah kan bisa sambil ngobrol atau diskusi sama temen,  materi juga jadi lebih ngerti",ptm gue selalu kehilangan semangat belajar kalau pjj kalau sekolah sambil ngobrol diskusi sama temen materi jadi lebih ngerti
415,"@schfess klo selama masuk ptm lu ga jaga prokes yes lu salah tp klo udh pake masker jaga jarak tp ttp kena ofc it's not ur fault, ibu2 emg mulutny kek anjing nder, anggep aja anjing menggonggong atau angin lewat, smangat senderr",kalau selama masuk ptm jaga prokes yes salah kalau sudah pakai masker jaga jarak tetap kena ofc ur fault emg mulutnya kayak anjing nder anggep aja anjing menggonggong angin lewat semangat sender
416,@sparksmingi gjdi ptm covid tinggi lol wkkwkw,gajdi ptm covid tinggi lol wkwk
417,"@youngtaelvity kalo aku ptm 50% kaa, hari ini doang yang bdr sama rabu itujuga kao rabu setengah hari di sekolah trus siangnya bdr deh",kalau aku ptm doang belajar dari rumah sama setengah sekolah belajar dari rumah deh
418,kalian yg udah ptm kalian lebih suka online apa offline guysðŸ˜­,kalian sudah ptm kalian lebih suka online offline guys
