,original_tweet,sentiment,Predicted
255,@schfess Kayanya cuma sekolahku aja deh di satu Malang Entah bene ato ngga Soalnya sekolahku sekarang masi 50% yg m https://t.co/bUj9ttSBaR',-10,NEGATIF
256,"@betterperl aku balik ptm 50%, jadi masuknya gantian lagi gitu'",-6,NEGATIF
257,"@schfess Tp ini jg krn ptm 100% dan kantin buka, dulu pas masih 50% kantin tutup alhamdulillah aman2 aja'",-4,NEGATIF
258,"@galvantariksa jujur gue tuh seneng-seneng aja hari senin karena full ptm, tapi baru seminggu full ptm udah disuruh 50% lagi anjj'",-10,NEGATIF
259,@schfess Kalo punyaku besok mulai ptm 50% lagi Gak tau juga kenapa',-8,NEGATIF
260,"@gianrln ehh asikk, aku jadinya ptm 50% nih karena sma tetangga ada yang positif. mungkin di sekolahku juga ada ...'",21,POSITIF
261,pingin ptm 50% lagiii',-1,NEGATIF
262,"siallll, sekolahku ptm 50% lagiii....'",-4,NEGATIF
263,"@schfess jdi ptm 50%, pelajaran produktif ajasi yg kayak praktikum gtuu sama ditambah mtk,pjok,bk'",-1,NEGATIF
264,"@gurlllreen SEKOLAH AK GAADA YANG COVID TAPI PTM  50% TRSSS  tapi gpp deh, kalo 100% mah ngeri circle nya'",-15,NEGATIF
265,@pusmpkin pjj nya selang seling kak jd sama aja... yg ptm 50% pjj 50% mana aku dapetnya senin anjrit malesss',9,POSITIF
266,Udah nyaman ptm 100% ini mau ptmt 50% huftt',14,POSITIF
267,"Moots, ini bukan mau nakut-nakutin ya. Tapi Omicron ini emang cuepet nyebarnya. Salah satu teman di FB, anaknya SD/ https://t.co/fSOLFBMZ9z'",-11,NEGATIF
268,"Anjj sekolah ku gak adil bgt njirr.. ptm 50% lagi, ganjil genap.. minggu kmrn genap sampe jam 10.15 trs minggu beso https://t.co/J7PcOzy1p9'",-17,NEGATIF
269,"@convomf Balik 50% lagi nder, jadi sehari ptm sehari pjj'",-4,NEGATIF
270,anjer blik lg ptm 50%',-8,NEGATIF
271,padal sedang merasakan indahnya ptm 100% eh malah diubah jadi ptm 50%. taik taikk',-16,NEGATIF
272,"@DKIJakarta Gmn dengan PTM yang 100%....WFH aja 50%...selamat kan jg dong anak"" jangan hanya pekerja aja yg di selamatkan...'",2,POSITIF
273,w pengen nya 50% pjj 50% ptm',3,POSITIF
274,@Hilmi28 @Adra_silent Jogja kembali berlakukan PTM 50 persen setelah bbrp siswa positif..smg segera landai lagi..',6,POSITIF
275,Jujur pengen ptm tapi bukan 100% karena gue takut  orang 50% aja masih pada buka masker apalagi 100%.',12,POSITIF
276,"Sekolahku hari Senin besok mau uji coba pake sistem hybrid 50% ptm 50% pjj, karena ada siswa sekolah sebelah yang k https://t.co/jshGjMd2xn'",12,POSITIF
277,"SchApp! sender udah PTM tapi masih disesi ,Ya Allah sender masuk jam 10.50-14.40 seharusnya sesi 1 jam 07.00-10.40 tapi sesi 2 protesss'",13,POSITIF
278,"aaaaaaa, mau ptm 50 lg jogjaaaa kaaaachhhh'",0,NETRAL
279,dih anj ptm 50% lagi....',-9,NEGATIF
280,"@haezkith iya deh kayaknya,, di sekolah aku aja banyak yang izin, APALAGI PAS ITU kelas aku yang masuk (masih di fa https://t.co/mctURHcdQF'",-8,NEGATIF
281,semoga ptm 50% aja',1,POSITIF
282,"RT @infinitydipsy: @schfess Hadeh emang serba salah ngadain PTM 100% dimasa sekarang gini, kalau terusin PJJ materi ga paham, PTM 50% cuman '",-12,NEGATIF
283,@schfess emang paling bener ptm 50% ga full online tapi ga full offline juga kan.',6,POSITIF
284,"JUJUR agak seneng ptm 50% soalnya gajadi penilaian olahraga, aku gabisa cuyyyyy nangis'",-7,NEGATIF
285,"@tjapoenglaut Di sekolah anakku, minggu depan mulai online. kebijakan diambil krn kepseknya positif.. Adeknya 50% P https://t.co/92OkSkNdx4'",0,NETRAL
286,plis ptm lagi kek tpi jgn 50%',-8,NEGATIF
287,"b""@kenzkjks ptm 50% gtu, masih setengah' and I hope si Ga pjj lagi ya""",-7,NEGATIF
288,"@schfess Sekolah aku 50% PTM,Semoga aja gak pjj'",1,POSITIF
289,"RT @john_parker26: @jokowi Pak anak sekolah sdh PTM 100%, mohon dipertimbangkan lagi buat PTM 50% dahulu, jangan menunggu di suatu sekolah '",9,POSITIF
290,"@schfess lah sama dom ku juga 50 50 lagi 100% cuma sehari doang, tapii aku bersyukur sih daripada sama sekali ga PTM malah lebih sedih:('",5,POSITIF
291,ni ptm 50% doang aku jd mager sekolah',3,POSITIF
292,@yaiyagituuu Stay safe ptm 50 tu ga enak bgt',6,POSITIF
293,"@seashorepeony sekolahku baru mulai full ptm 100% tuh minggu ini, tapi gara-gara Omicron minggu depan mulai 50% lagi'",-1,NEGATIF
294,"@schfess 100% , aku tipe org yg belajar harus diskusi. dan di 50% itu aku gapunya temen diskusi jadi belajarnya ben https://t.co/CxdSe5wosk'",3,POSITIF
295,@republikaonline Yang penting itu ptm 100% ditunda dulu 1 bulan dan kantor W.F.H atau W.F.H. 50%.........INI LEBIH https://t.co/5fsuAmOIXk',-1,NEGATIF
296,"Sebenernya takut ptm 100% gini, tapi jujur ngga mau PJJ anjir bisa gila kalo PJJ lagi, mending 50% aja lah ya'",10,POSITIF
297,@schfess ptm 100% kaloo ptm 50% tuhh mainn circle kaloo udah ketemu sekelas semua. ga seruuu. jadii mending yg 100%',-1,NEGATIF
298,ni ptm 50% tar lama lama pjj AAMIIN',-10,NEGATIF
299,"@artemisstudy waaa, sebetulnya aku ngerti sih kenapa papamu ngga bolehin, soalnya omicron emang lagi ngejamur bange https://t.co/nO0bPoaeKv'",-4,NEGATIF
300,"@schfess I prefer 50% karna situasi ga sepenuhnya memungkinkan, aku udah ptm dan asli sebenernya enakan ptm, materi https://t.co/KWFPdTovTf'",13,POSITIF
301,@schfess Belum pernah ptm 100% 5. Tapi aku pengen ngerasain ptm 100% soalnya temen-temen yg aku kenal ada di sesi 1. https://t.co/kdvtvev73h',8,POSITIF
302,@schfess PTM 50% enak agak sepi',2,POSITIF
303,"@schfess Awalnya 50% soalnya lebih dikit orangnya, lebih tenang. Ternyata seruan ptm 100%, banyak temen di kelas sa https://t.co/ZSHSfXD2Qo'",3,POSITIF
304,"@schfess 50% biar ada istirahat nya terus aku gk suka yg rame"", tapi mingdep angkatan di sekolah ku PTM 100% '",2,POSITIF
305,semoga bsk senin ga 50 50 lagi deh ptm nya ',-2,NEGATIF
306,"@schfess PTM 50% SUMPAHHHH, LEBIH TENANGG'",10,POSITIF
307,@schfess PTM 50% karena di sesi lain banyak masalaahhh gak mau kebawa bawa',-9,NEGATIF
308,"@schfess tergantung , kalau masih 50% mending pjj aja sekalian semua , soalnya kalau setengah2 gtu yg daring ga kep https://t.co/jLy0vSTpiE'",-7,NEGATIF
309,"@schfess engga, pengennya PTM tapi 50% aja ga kaya sekarang 100%. soalnya selain karena masih pandemi &amp; tren kasus https://t.co/6NMHHBHVyk'",-16,NEGATIF
310,"@schfess 50 50 sihh, soalnya klo ptm fisik kerasa bgt capeknya, klo pjj capek mental'",-8,NEGATIF
311,"@schfess aku mau, tpi ptm 50% g mau 100% alias 50% GW DH CPEK KLI ANJIM 1 hari sekolah 1 hr daring gitu. g tw lg g https://t.co/ll91akWNqX'",9,POSITIF
312,"@schfess Enakan ptm sih tugasnya ga terlalu banyak,pjj enak juga lebih santai tapi tugasnya video terus jadi mendin https://t.co/XGNMpdPscl'",13,POSITIF
313,"@schfess 50 50,  kebanyakan kelompok/presentasi kalau ptm, tp gphm materi klau pjj'",-4,NEGATIF
314,@schfess dikelasku aja tadi yg izin ada 7. gara  itu sekolahku balik lagi ptm 50%. Alhamdulillah aku udh sembuh sih',9,POSITIF
315,@schfess ptm 50% soalnya kalau ptm 100% susah bagi waktuu:(',-3,NEGATIF
316,"RT @shiningmoment18: @schfess 50 50~ ptm sekarang tugas kelompoknya too much (mana seringnya kerja sendiri ), di sekolah nugas, di rumah pr '",-2,NEGATIF
317,"@schfess sering banget beda pendapat, trus berasa beda kelas, bercircle, trus aku ngerasa kurang adil sih soalnya p https://t.co/iNASd9Wkvp'",-6,NEGATIF
318,"@schfess gamauu, pengennya ptm tp cuma 50%. kl 100% gakuat bgtt rasanya kelas tu penuhh sekolah penuhhh.'",-13,NEGATIF
319,@schfess soalny ptm ny cm 50% doang klo 100% asik aja deh',5,POSITIF
320,APAKAH SENIN PTM AKAN 50% LAGI??  males',-8,NEGATIF
321,sekolah gua masih 50% ptm tp sekolah lain udah di kasih surat buat pjj  dn skolah gw blm skolah gw udh kek tahu 'https://t.co/bGSiliXsV',4,POSITIF
322,"gue mau cerita, KEMAREN KAN GUE 50% PTM. KABAR BAIK NYA ADALAH GUE UDAH MULAI BISA AKRA'SAMA TEMEN2 SE SESI GUEEE! https://t.co/EQ1bl5Jnbh'",12,POSITIF
323,Sebenernya lebih enakan PTM 100% gasi jadi sekalian capek??? Daripada PTM 50% terus pulang-pulang mesti sekolah lagi!????',7,POSITIF
324,"RT @john_parker26: @jokowi Pak anak sekolah sdh PTM 100%, mohon dipertimbangkan lagi buat PTM 50% dahulu, jangan menunggu di suatu sekolah '",9,POSITIF
325,"RT @KSPgoid: ""Jika angka kasus di Jakarta semakin naik dan level PPKM jadi level 3, maka otomatis PTM dibatasi maksimal 50 persen. Tapi jik '",7,POSITIF
326,"btw sekolah gue emg belum ptm 100% masi 50% 50%, tp karena kemarin ada yg positif inimah gue yakin gabakal ptm 100% https://t.co/ncaDf8Wq45'",-1,NEGATIF
327,@schfess Awalnya pas mau ptm 100% gw ngeluh krn pasti bakal berisik dan gw udh nyaman 50-50. Tapi begitu dijalanin https://t.co/8ervqkSyPy',-2,NEGATIF
328,@schfess ptm 50% tuh sepi bangeeet gue ga se sesi sama temen gueee\xf0\x9f\x98\xad ptm 100% rame banget kdg kalo nunggu jemputan t https://t.co/kg6fIxaMRq',-4,NEGATIF
329,"@schfess ngga , ptm 100% cuma seminggu , abis tu 50% lagi huhu'",-3,NEGATIF
330,"@jokowi Pak anak sekolah sdh PTM 100%, mohon dipertimbangkan lagi buat PTM 50% dahulu, jangan menunggu di suatu sek https://t.co/G01hwnbUc1'",5,POSITIF
331,"@collegemenfess belum ada info resmi, tapi rumornya prodi sebelah bakalan pake sistem gilir gitu (50% ptm sampai ut https://t.co/47kaEi2ej1'",-5,NEGATIF
332,kalo ptm nya masih 50% terus mah mending pjj  https://t.co/QgJgD5SqSA',1,POSITIF
333,"b""Bener kata tiara, kelas 12 bikin stress Ini juga masih ptm 50% Gimana kalo ptm full 100% coba:')""",-4,NEGATIF
334,"@convomfs aku yg biasanya 50% trs kmrn ada coba ptm 100% malah pusing nder, biasanya sepi krikkrik jd rame+berisik https://t.co/zEZymXN9YY'",-6,NEGATIF
335,pengen balik ptm 50% lagi tolongggg :((',1,POSITIF
336,@schfess 50% krna hmpir stngah tahun udh ptm jd udh menyesuaikan dirii sm sesi A ini',-1,NEGATIF
337,"@schfess 50% ofc GUE JADI TERLIHAT OLEH GURU, SOALNYA KELASAN GUA BACOT BGT BABYCK BERISIK ORANG ORANGNYA CARI MUKA https://t.co/gU1qBWdHzm'",5,POSITIF
338,"@schfess PTM 100%, 50% bnr2 ga efektif mnrt gue'",2,POSITIF
339,"@schfess ptm (50%) enak karna materi bisa masuk ke otak, bisa interaksi langsung sama temen &amp; guru. pjj juga enak k https://t.co/tFkU0dBH4C'",28,POSITIF
340,"@schfess Adek aku jdi ptm 50% skrng krn tmnnya +.. masalahnya minggu +, senin - ,selasa orngnya sekolah.. gk kasian apa sama tmn2 yg lain?'",-2,NEGATIF
341,"RT @kyawoocute: @schfess Menurut aku nggak, semenjak ptm tugas hampir berkurang 50% nan menurut aku, kaloe pjj 100% tugas terus karena eman '",-15,NEGATIF
342,"@schfess 50 50 si, ptm seru bgtt tp capeknya ituloh klo pjj capek bisa langsung tiduran'",-2,NEGATIF
343,"@schfess sejujurnya ngga, tp kl msh 50% gini terus juga capek. kl gurunya bisa bagi diri secara adil bagi yg ptm ma https://t.co/I9OahIiO6p'",1,POSITIF
344,"@schfess ptm 100% biar bisa deket sama semua tmn di kelas, kalo 50% kan di bagi 2 sesi jadii ga kenal aja gitu cang https://t.co/rzlXVRAh8q'",0,NETRAL
345,@schfess PTM tapi tidak 100% maunya cuman 50% supaya lebih dekat dulu sama teman - teman baru yang ikut PTM',-4,NEGATIF
346,"@schfess pengen ga pengen, gue maunya 50% kaya kemaren2. soalnya semenjak ptm 100% tugas kelompok gue makin ngadi2 https://t.co/q9yTFPNLkc'",-8,NEGATIF
347,"@schfess 100% persen soalnya temen gua di sesi satu semua dan gua di sesi dua, terus klo ptm 50% kek gaenak jauh jauhan bener duduknya'",-18,NEGATIF
348,@schfess buatku lebih enak 50% ptm',7,POSITIF
349,"@schfess Sama kayak sekolahku, walau masih ptm 50% ada yang positif. Malah sekolahku rencananya mau ptm 100% minggu depan'",16,POSITIF
350,@schfess Ptm 50%  Gua ga sanggup kyknya kalo ptm 100%',-3,NEGATIF
351,sedih bgt masa ptm nya 50% lagi :((((((',-6,NEGATIF
352,@schfess Wkwkwkw gak sih pengen ptm 50% lagi aja',0,NETRAL
353,@schfess Ternyata ada untungnya juga ptm 50% tiap hari jadi ikut takut kalo ptm 100%',2,POSITIF
354,"@schfess 100% PTM, kalo 50% PTM tu penyampaian materinya ngga sama rata, ini dikelas gue sendiri aja udah ngerasain https://t.co/JBDKopzxxh'",3,POSITIF
355,@schfess Enakan 100% jelass.. ptm 50% yang di rumah kaya orang dongo :)',14,POSITIF
356,"@schfess gamau, maunya sih 50% aja soalnya lebih bisa fokus. Anak anak kls gua pas ptm 100% berisik banget sampe gu https://t.co/KLuePJhKYh'",-23,NEGATIF
357,"Yashhhhh, mingdep PTM masih 50%, alhamdulillah  '",-3,NEGATIF
358,@schfess Ga tapi pengen ptm nya 50% aja Jadi tetep ada 2 sesi engga di gabung 6',15,POSITIF
359,bisa gasih ptm 50% ajhhhh',-3,NEGATIF
360,"@schfess Mungkin aku 50%, tugas ptm 100% ga ngotak parah'",8,POSITIF
361,@schfess sama nder tp ak ptm nyamasih 50%',-5,NEGATIF
362,"@schfess ptm 50%, krn g rame &amp; lebih mudah ngerti materinya'",4,POSITIF
363,"@subschfess Udah pas semester 1 ptm 50%. Btw semangatt sender, semoga nilainya memuaskan'",14,POSITIF
364,"@schfess Waktu ptm 50% sering deg degan tapi setelah ptm 100% jadi nggak, paling kadang males aja kalo ada mapel yg https://t.co/HglsmAqRNM'",1,POSITIF
365,"@schfess sekolahku masih ptm 50%, itupun ga wajib.. boleh ptm boleh ngga, tapi byk yg milih gak ptm jadi yaagitu:"") takuutt banget sih...'",-5,NEGATIF
366,berat badan gue biasanya tuh 49/50 dan sebenernya i felt very confident dengan b'segitu. badan gue bagus i know th https://t.co/4bACklR65m',-17,NEGATIF
367,@SQOURG1FY sama bgtt beberapa sekolah nerapin 100% pasti ada aja yg kena dan kebijakan beberapa sekolah langsung pt https://t.co/FhBzN3Zsh',11,POSITIF
368,Udah melakukan daring buat anak2 seminggu ini walau sekolah memaksakan PTM 100% (setelah sebelumnya komitmen sekola https://t.co/HFNlIyzDew',4,POSITIF
369,@bingiung yadongg ptm masih 50% jadi lebih cpet pulangnya yhahhaa iri gk loe',-7,NEGATIF
370,@tjapoenglaut @nadiemmakarim Anakku PTM baru 50% capt. Hari ini online dari rumah',-5,NEGATIF
371,"@Benedictuswinn1 @muhammadariel_r @CNNIndonesia Menurut saya, jangan hentikan ptm 100 persen. AKAN TETAPI, pemda di https://t.co/7xbRrZETf8'",-1,NEGATIF
372,"@drpriono1 dgn makin melonjaknya kasus harian akibat varian Omicron, ditambah dgn subvarian baru ini, akan lbh baik https://t.co/px0MuvOMaG'",2,POSITIF
373,"@tsetiady Ya itulah, selama status pandemi blm dicabut seharusnya sekolah PTM tetap 50%, kembalikan keputusan pd ma https://t.co/cDN0DLYAGP'",15,POSITIF
374,@schfess ptm dan pjj wkwkwk alias ptmt 50% lagi',1,POSITIF
375,"RT @kumparan: Jadi seingat saya ya kalau kasusnya naik, PPKM-nya naik, dia harus turun dari 100 ke 50 persen. Kalau dia naik lagi, turun l '",-9,NEGATIF
376,"Kenapa beberapa daerah langsung berani PTM 100% dah, daerah gw masih 50% anjr'",-7,NEGATIF
377,"@subschfess Sedih ga sih aku hampir 2 tahun SMA sekolah full siswa sama guru cuma sehari, itupun bersih-bersih kela https://t.co/hKO7tT8U4V'",3,POSITIF
378,"pjj, ptm oke kalo 50% https://t.co/JjTNthcf0u'",1,POSITIF
379,Jujur PJJ lebih efektif. PTM 50% aja ga efektif apalagi 100% https://t.co/0Zhq1J9i1Q',16,POSITIF
380,"Saran yg sangat baik dr Perhimpunan Pendidikan dan Guru (P2G), yg berada di ujung tombak pendidikan Semoga Gubern https://t.co/hR5I477QJR'",-5,NEGATIF
381,"seharian ini isinya sambat mulu ttg tugas sekolah. tapi emang secapek itu. tadi pulang ptm jam 11.15, lanjut kerja https://t.co/rddeWWXRlX'",11,POSITIF
382,"ahh shit binder catetan mtk gue ketinggalan di laci kelas, mana bsk pas ngga ke sekolah lagi gegara balik lagi ptm nya 50%'",-42,NEGATIF
383,"@kompascom Hhmmm...\xf0\x9f\xa4\x94  Yth, Pak .@BudiGSadikin  .@KemenkesRI  Prof .@ProfesorZubairi  PTM siswa2 di Pekanbaru : SMP, https://t.co/TfUieA5VCl'",1,POSITIF
384,"@Dokyeomiinee kayaknya ga otomatis diliburin dehh, tetep ptm 50% gitu :(( soalnya tempetku gituu :( stay safe ya waa!!!'",2,POSITIF
385,"@dirgarambe No 2 susah dihindari Dok. Bekasi PTM 100%, dan masih WFO 50%.'",3,POSITIF
386,RT @irasjafii: @PerkasaHabsyah Sebagai ibuk2 yg suka memantau kepatuhan prokes di sekolah  dan juga dulu aktif memantau kedisiplinan nakes ',-7,NEGATIF
387,@PerkasaHabsyah Sebagai ibuk2 yg suka memantau kepatuhan prokes di sekolah  dan juga dulu aktif memantau kedisiplin https://t.co/IHyhDiXc3V',-3,NEGATIF
388,"Tiga Siswa Terpapar Covid-19, PTM Turun 50 Persen https://t.co/6Odih700P8 via @radarjogja'",5,POSITIF
389,stress ptm mau back 50%',3,POSITIF
390,@convomf Jangan sampe minimal mah 50% PTM sisanya pjj jangan terus terusan pjj anjir',-7,NEGATIF
391,@schfess gaada nder aku masih ptm 50%',-1,NEGATIF
392,"Kasus Covid-19 Kembali Melonjak, Asosiasi Guru Desak PTM Cukup 50 Persen https://t.co/eHVk6x5VbV'",4,POSITIF
393,@choisantay Iya aku juga denger antara ga ada PTM atau ga PTM 50%',3,POSITIF
394,@mawardinurullah @ProfesorZubairi liat dulu dilapangan pelaksanaan aslinya kyk gmn.. tiap hari balik sklh ruwet kyk https://t.co/MGm30lBZUr',-6,NEGATIF
395,@AmamiMichiChan @schfess sama banget udah PTM 100% sekarang PJJ dan PTM 50%',9,POSITIF
396,sekolah rin balik ke 50% ptm gegara ada yg c word. trs hari ini rin milih buat ga masuk sekolah krn takut e',-6,NEGATIF
397,"@subschfess Kami minggu lalu udh  Tapi gegara kabupaten kami level 2 Omicron , jadinya kami dibuat PTM 50%'",5,POSITIF
398,"@schfess aku 50:50 sih. masing2 ada kurlebnya. pjj alu jenuh, tp enak jd lebih ga cape fisik. ptm asik ktmu tmn2, 'https://t.co/tCqWP8Jdt0'",8,POSITIF
399,@schfess males ptm nderrr mending pjj dah :((',-5,NEGATIF
400,@schfess PTM 50% nder. Kelas 10 sama 11 gantian masuknya per Minggu udah gitu dibagi dua sesi selang seling sehari https://t.co/yXhqxLI279',8,POSITIF
401,jujurrr lebih suka ptm yang 50% tapiii temen gueee bedaa sesiii dan gue gapunya temen lg di sesi yg sama kaya gueee',3,POSITIF
402,"sch! sender 50% pengen pjj, tapi 50% pengen ptm'",6,POSITIF
403,  sekolah sender mau balik ptm 50% lagi huhu padahal udah enak full :(',13,POSITIF
404,"""Itu kami evaluasi. Ketentuannya kalau di level 3 baru 50%,"" katanya di Balai Kota DKI Jakarta, Rabu (26/1).  Sumbe https://t.co/13J1mpOBnm'",-1,NEGATIF
405,@e100ss kenapa yg kuliah masih ptm terbatas 50/50 sedangkan tingkatan PAUD dan TK yg jelas ngatur diri nya sendiri https://t.co/UimAPz8MJo',0,NETRAL
406,untuk anak-anak sekolah di Jakarta yg rada khawatir karena masih PTM full 100% (atau 50%) padahal kasus covid lagi https://t.co/zydX5a1IH6',-5,NEGATIF
407,"50/50 deh, suka ptm karna ketemu crush, pjj karna seru di rumah belajar https://t.co/33pfri2TlZ'",14,POSITIF
408,@aniesbaswedan assalamualaikum sehubungan dengan naik nya angka covid di DKI apakah masih layak PTM 100% sementara https://t.co/23bseWGB2f',0,NETRAL
409,"@TirtoID Ngajar 50% gini sumpah capek banget. Wes mending 100%. Entah semua PJJ atau semua PTM, asal jangan separoh2'",-13,NEGATIF
410,"@DKIJakarta Trus bagaimana dengan PTM..? kasus udh tambah begini ko PTM masih di lanjutkan..kasian lah anak"" sement https://t.co/SlC1GkLtvv'",-3,NEGATIF
411,@newsplatter Kl ga distop..minimal jadi ptm 50% lah....',-3,NEGATIF
412,besok gua ptm 50% lg anjir menggabut',-9,NEGATIF
413,"Sch!  GUYSS doain daerah ku tetap safe yaa, biar sekolahku tetep jalann walau cuma 50% 50%, yg penting tetep PTM!!! https://t.co/sWyF9qjDUk'",9,POSITIF
414,@schfess ptm tapi 100%  50% ga asikkk',4,POSITIF
415,"Bekasi ketularan sih kayanya nanti.. br 2 minggu ptm, msh 50% pula, udh disuruh bdr lg aja krn ada guru yg positip https://t.co/nPgRm9LBHe'",2,POSITIF
416,"""Ketentuannya kalau (PPKM) di level 3, baru PTM bisa kami turunkan jadi 50 persen,"" kata Riza.   https://t.co/ASf0Aga5hH'",-3,NEGATIF
417,"@schfess PTM tapi 50% soalnya kalo 100% menurutku ga kondusif banget, kelasku tu bener-bener serame itu'",1,POSITIF
418,"kalau ptm kmrn sih cepet gegara 1 matkul doang, trs yg dijadiin ptm cuma 2sks, 2sksnya lg yg sisa tetep daring  tp https://t.co/5s5XhofOOw'",-18,NEGATIF
419,"@schfess pjj, kmrn ptm masih 50% masih enak, skrg 100% gaenak cape'",-2,NEGATIF
420,"RT @ferdymad: @aik_arif PTM 50% jg menjadi resiko penyebaran Omicron.., dan anak2 kita yg terdampak'",-10,NEGATIF
421,alias gue udah pewe banget sama ptm 50%',8,POSITIF
422,LAH katanya mau ptm 50% lagi awokwkwkkw ngabrut!! ngakak brutallll',-10,NEGATIF
423,"@fulllsun0_0 yah, emang udah bener ptm 50% deh drpd 100% tp ujung ujungnya bakal pjj semua lagi'",6,POSITIF
424,"@satorvx oiya gw soalnya lgi skolah onlen, ini klian udh ptm 100% atau ptm 50%?'",1,POSITIF
425,"@asaM1CC Udh ptm, tapi baru 50% jdi kaya seminggu ptm seminggu pjj gituu'",8,POSITIF
426,"@jihoonsay PJJ. Kalo PTM minusnya terlalu banyak tugas sampe kelimpungan, tapi plusnya jadi lebih rajin sih. Kalo P https://t.co/IBNDCl6s8k'",-3,NEGATIF
427,"@kabjagiband kayaknya ga semua deh.. mungkin pas awal awal, terus ketika ada siswa yang kena c word jadi pjj lagi atau ptm 50%'",5,POSITIF
428,"sch! Sekolah sender mulai bsk PTM nya 50% lagi, sedih bgt padahal lebih asik PTM '",3,POSITIF
429,"@schfess SEKOLAHKU MALAH PTM IH, asalnya 50 skrg jadi 100'",4,POSITIF
430,ya allah baru sehari ptm 50% tau tau kakel gue positip 3 orang',4,POSITIF
431,@schfess aku justru mau ptm terus aja tapi sekolahku masih ptm 50%. soalnya aku tipe yg bakal rajin kalo liat langs https://t.co/bxa8coDBED',11,POSITIF
432,"@schfess masih pjj malah, ptm juga masih 50%, semoga jangan 100% dulu deh'",-2,NEGATIF
433,jujur gue tambah stres ptm 50% ga jelas gini',0,NETRAL
434,"@schfess baru jalan 2 hari sih, masih fine fine aja soalnya masih 4 jam an doang. tugasnya udah mulai ke tolong, ud https://t.co/Ej4kvNh6hE'",13,POSITIF
435,@schfess Ptm 100% tp kalau keadaan g memungkinkan mending daring sekalian daripada 50% :(',0,NETRAL
436,@schfess 50%.... jujur semisal sekolah aku udah ngadain ptm 100% aku takut banget.... mana protokol udah mulai kend https://t.co/uVKLWI6Ru1',17,POSITIF
437,"Besok ptm 100%?? hadeh 50% aja aku dh tertekan, gimana kalo 100%'",-4,NEGATIF
438,@schfess Kemarin dikabarin ptm 50% hari ini dikabarin pjj 100%',-6,NEGATIF
439,sch! Sedih besok sekolah 50% lagi padahal udah seneng 100% ptm https://t.co/HMOkdajZbG',6,POSITIF
440,"Daripada PJJ lagi mending PTM tapi 50% terus dikasih jeda setiap sesi 1 minggu, soalnya kalo balik PJJ 100% nilai g https://t.co/cyh38HJzO8'",-1,NEGATIF
441,jgn ptm 50% dong aku gabetah dirumah',1,POSITIF
442,Vaksin dosis 2 harus tercapai sekitar 80% bagi guru dan tenaga pendidikan lainnya. Dan 50% bagi masyarakat lain.  J https://t.co/FcaBcO9Rbg',9,POSITIF
443,"@stuwithdy wahh padet bangetaku yang baru ptm 50% aja udah capee huhu, semangat kamuu'",5,POSITIF
444,"@ninoriano Gantian WFH seminggu sekali (50%). Eh, sekarang total karena suite sebelah ada yang positif... bocah jug https://t.co/u12WNTXuXx'",2,POSITIF
445,kapan ptm 100% njirrrr?? udah agak ga tahan kalo 50% terus',2,POSITIF
446,"@subschfess kalo di sklh aku udh ptm full nder tapi buat yg kelas 12 doang, 10 sama 11 masih 50%'",6,POSITIF
447,AHHH ANJJRRR MALES BANGET PTM 50%',-9,NEGATIF
448,"@schfess kangen, TP ENAKAN PTM 50%'",8,POSITIF
449,@sug4rxicetea sekolahku balik lagi ke ptm 50% kesel banget :(',-6,NEGATIF
450,"JUJURLY GASIAP PTM 50% KRNNN GBS KETEMU ARIP, PPUPUTTTT AAAA AKU GABISA LENDOTAN KE PUPUT LAGI GABISA NGAKAK NGAKAK AMA ARIP LAGI'",-18,NEGATIF
451,"@subschfess Lah kan udah pada di vaksin toh? Saran yg klise sih, tapi ya selama mereka taat prokes pasti aman2 aja. https://t.co/d97UE1f7Zt'",13,POSITIF
452,Sekolah gw mau balik ke ptm 50% lagi,-1,NEGATIF
453,"mending ptm please... aku ptm baru 50% sih di sekolah, tapi asli jangan sampe online lagi semangat belajar aku 'https://t.co/Wp90GDWrfK'",3,POSITIF
454,yah mau 50% ptm lagi :(  padahal udah nyaman 100% ptm hufftt',12,POSITIF
455,mana ini kan msih ptm 50% :D PULANGNYA PADA JAM 1 LAGI AH ELAH',8,POSITIF
456,"ga berharap pjj, tapi ptm 50% lagi bisa g siex https://t.co/MATsfcWXjZ'",4,POSITIF
457,Kembalikan PTM 50%',4,POSITIF
458,"@loveliuest Samaa, sekolahku juga masih 50% ptm nya'",-1,NEGATIF
459,"@kilangambis 50/50 sih kalo akuu udah nyaman pjj , cuma materi lebih ngerti kalo ptm  kl km gimanaa kil?'",11,POSITIF
460,@convomf aku malah pengen ptm 100% soalnya bestie ku di sesi 1 :( aku ptm 50% malah diem dieman',5,POSITIF
461,"  pengen ptm 50% lagi pls, kelas brisik banget'",-6,NEGATIF
462,"@snwkasep bener juga, tapi kalo ptm 50% bisa lah ya'",6,POSITIF
463,"@schfess jujur kalo pjj 100% bakal enak si, teratur gt loh. soalnya di sekolahku masih 50% pjj 50% ptm. kadang ada https://t.co/RO1KTdymeX'",21,POSITIF
464,@schfess 50% cocok banget buat aku yang dikit dikit rasanya mau bolos. tapi 50% malah bikin aku tambah capek soalny https://t.co/iXOIKX9y0t',2,POSITIF
465,"sumpah kalo ptm gua bangunnya jam 4.50 :"") untung pjj'",2,POSITIF
